steric push-off: E/lipid -17.3 -> -20.7, min non-bonded r 0.663 -> 0.850
MIXTURE 2-D: 0 short (2 tails) + 80 long (4 tails) + 956 water, L=44.0, packing fraction 0.55, kT=0.45, start=ring
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0    -7.83       80  17.47      nan     nan    nan    nan   2.756  1.462     1288     1     n    nan       0      1.00     1.00   +0.000     1   1.043
    5000    -7.35       80  16.89      nan     nan    nan    nan   3.491  1.440     1604     1     n    nan       0      1.00     1.00   +0.000     1   0.862
   10000    -6.98       80  16.71      nan     nan    nan    nan   3.509  1.439     1540     1     n    nan       0      1.00     1.00   +0.000     1   0.880
   15000    -7.45       80  17.14      nan     nan    nan    nan   3.775  1.450     1548     1     n    nan       0      1.00     1.00   +0.000     1   0.874
   20000    -7.24       80  17.00      nan     nan    nan    nan   3.653  1.457     1539     1     n    nan       0      1.00     1.00   +0.000     1   0.869
   25000    -7.19       80  15.12      nan     nan    nan    nan   3.719  1.442     1543     1     n    nan       0      1.00     1.00   +0.000     1   0.886
   30000    -7.42       80  16.47      nan     nan    nan    nan   3.753  1.461     1610     1     n    nan       0      1.00     1.00   +0.000     1   0.854
   35000    -7.18       80  17.26      nan     nan    nan    nan   3.313  1.440     1579     1     n    nan       0      1.00     1.00   +0.000     1   0.872
   40000    -7.06       80  16.91      nan     nan    nan    nan   3.438  1.450     1427     1     n    nan       0      1.00     1.00   +0.000     1   0.944
   45000    -7.26       80  13.48      nan     nan    nan    nan   3.416  1.434     1390     1     n    nan       0      1.00     1.00   +0.000     1   0.984
   50000    -7.43       80  16.26      nan     nan    nan    nan   3.337  1.447     1545     1     n    nan       0      1.00     1.00   +0.000     1   0.880
   55000    -7.44       80  15.44      nan     nan    nan    nan   3.856  1.453     1540     1     n    nan       0      1.00     1.00   +0.000     1   0.893
   60000    -7.08       80  14.50      nan     nan    nan    nan   3.181  1.431     1517     1     n    nan       0      1.00     1.00   +0.000     1   0.890
   65000    -7.19       80  14.89      nan     nan    nan    nan   3.734  1.451     1524     1     n    nan       0      1.00     1.00   +0.000     1   0.899
   70000    -7.36       80  15.62      nan     nan    nan    nan   3.812  1.441     1604     1     n    nan       0      1.00     1.00   +0.000     1   0.863
   75000    -7.16       80  16.13      nan     nan    nan    nan   3.516  1.429     1629     1     n    nan       0      1.00     1.00   +0.000     1   0.850
   80000    -7.44       80  14.22      nan     nan    nan    nan   3.344  1.455     1535     1     n    nan       0      1.00     1.00   +0.000     1   0.876
   85000    -7.12       80  14.32      nan     nan    nan    nan   3.475  1.443     1495     1     n    nan       0      1.00     1.00   +0.000     1   0.912
   90000    -7.25       80  15.26      nan     nan    nan    nan   3.550  1.434     1448     1     n    nan       0      1.00     1.00   +0.000     1   0.940
   95000    -7.33       80  13.79      nan     nan    nan    nan   3.519  1.423     1379     1     n    nan       0      1.00     1.00   +0.000     1   0.994
  100000    -7.32       80  13.25      nan     nan    nan    nan   3.956  1.436     1334     1     n    nan       0      1.00     1.00   +0.000     1   1.011
  105000    -7.18       80  14.03      nan     nan    nan    nan   3.406  1.430     1289     1     n    nan       0      1.00     1.00   +0.000     1   1.035
  110000    -7.35       80  13.96      nan     nan    nan    nan   3.744  1.425     1275     1     n    nan       0      1.00     1.00   +0.000     1   1.067
  115000    -7.24       80  15.44      nan     nan    nan    nan   3.234  1.433     1265     1     n    nan       0      1.00     1.00   +0.000     1   1.051
  120000    -7.50       80  16.79      nan     nan    nan    nan   3.416  1.437     1368     1     n    nan       0      1.00     1.00   +0.000     1   0.983
