MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=random
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     7.73        8   2.97    0.334   0.686  0.919 -0.022   3.344  1.403        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   20000    -5.38       16   4.67    0.469   2.305  0.877  0.113   3.500  1.410        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   40000    -5.79       25   6.34    0.547   4.421  0.893 -0.038   3.120  1.374        0     0     n   0.11       1      1.00     1.00   +0.000     0     nan
   60000    -6.17       25   5.54    0.515   3.512  0.889 -0.040   3.290  1.353        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   80000    -6.11       36   8.88      nan     nan    nan    nan   2.965  1.374        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  100000    -6.05       36   8.74      nan     nan    nan    nan   3.243  1.402        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  120000    -6.32       36   9.42      nan     nan    nan    nan   3.313  1.376        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  140000    -6.45       36   8.13      nan     nan    nan    nan   3.431  1.382        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  160000    -6.23       29   7.57    0.519   3.184  0.818 -0.252   3.431  1.440        0     0     n   0.29       6      1.00     1.00   +0.000     0     nan
  180000    -6.39       36   8.39      nan     nan    nan    nan   3.604  1.408        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  200000    -6.34       36   8.54      nan     nan    nan    nan   3.653  1.385        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  220000    -6.37       36   9.16      nan     nan    nan    nan   3.569  1.397        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  240000    -6.32       36   8.97      nan     nan    nan    nan   3.007  1.394        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  260000    -6.47       51  12.04      nan     nan    nan    nan   3.804  1.419        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  280000    -6.56       51  12.94      nan     nan    nan    nan   4.152  1.429        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  300000    -6.58       51  13.15      nan     nan    nan    nan   3.873  1.433        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  320000    -6.74       51  13.03      nan     nan    nan    nan   3.451  1.419        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  340000    -6.70       51  12.34      nan     nan    nan    nan   3.843  1.425        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  360000    -6.62       51  12.15      nan     nan    nan    nan   4.196  1.437        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  380000    -6.48       51  12.61      nan     nan    nan    nan   3.907  1.433        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  400000    -6.71       51  12.39      nan     nan    nan    nan   4.103  1.423        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  420000    -6.68       51  12.69      nan     nan    nan    nan   3.422  1.425        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  440000    -6.74       62  14.36      nan     nan    nan    nan   4.032  1.418        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  460000    -6.83       34   8.53    0.383   1.070  0.850  0.204   4.199  1.413        0     0     n   1.06      35      1.00     1.00   +0.000     0     nan
  480000    -6.54       34   8.13    0.391   1.471  0.814  0.149   3.485  1.428        0     0     n   1.06      29      1.00     1.00   +0.000     0     nan
  500000    -6.77       70  14.15      nan     nan    nan    nan   4.157  1.441        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  520000    -6.75       80  16.08      nan     nan    nan    nan   3.666  1.419        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  540000    -6.89       98  16.08      nan     nan    nan    nan   3.980  1.428        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  560000    -6.75       98  15.36      nan     nan    nan    nan   3.791  1.437        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  580000    -6.92       98  15.40      nan     nan    nan    nan   4.224  1.429        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  600000    -6.92       97  14.91      nan     nan    nan    nan   3.889  1.419        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  620000    -6.82       96  15.31      nan     nan    nan    nan   3.797  1.443        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  640000    -6.52       96  15.19      nan     nan    nan    nan   3.635  1.443        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  660000    -6.89       96  15.36      nan     nan    nan    nan   3.794  1.425        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  680000    -6.77       96  15.47      nan     nan    nan    nan   3.745  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  700000    -6.70       96  15.89      nan     nan    nan    nan   3.841  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  720000    -6.73       96  15.50      nan     nan    nan    nan   3.586  1.438        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  740000    -6.80       96  15.11      nan     nan    nan    nan   3.734  1.423      125     1     n    nan       0      1.00     1.00   +0.000     0     nan
  760000    -6.63       96  15.06      nan     nan    nan    nan   3.799  1.436       88     1     n    nan       0      1.00     1.00   +0.000     0     nan
  780000    -6.90       96  15.29      nan     nan    nan    nan   3.771  1.412      100     1     n    nan       0      1.00     1.00   +0.000     0     nan
  800000    -6.93       96  14.90      nan     nan    nan    nan   3.742  1.429      105     1     n    nan       0      1.00     1.00   +0.000     0     nan
  820000    -6.96      130  18.76      nan     nan    nan    nan   3.838  1.424       75     1     n    nan       0      1.00     1.00   +0.000     0     nan
  840000    -6.79      130  19.05      nan     nan    nan    nan   3.644  1.428      122     1     n    nan       0      1.00     1.00   +0.000     0     nan
  860000    -6.78      130  18.27      nan     nan    nan    nan   3.513  1.427       99     1     n    nan       0      1.00     1.00   +0.000     0     nan
  880000    -6.88      130  18.97      nan     nan    nan    nan   3.663  1.418       92     1     Y    nan       0      1.00     1.00   +0.000     0     nan
  900000    -6.95      130  18.43      nan     nan    nan    nan   3.785  1.434       79     1     Y    nan       0      1.00     1.00   +0.000     0     nan
  920000    -6.72      130  18.88      nan     nan    nan    nan   3.650  1.434       97     1     Y    nan       0      1.00     1.00   +0.000     0     nan
  940000    -6.75      130  18.48      nan     nan    nan    nan   3.973  1.434      124     1     Y    nan       0      1.00     1.00   +0.000     0     nan
  960000    -6.87      130  18.58      nan     nan    nan    nan   3.688  1.433       94     1     Y    nan       0      1.00     1.00   +0.000     0     nan
  980000    -6.74      130  18.17      nan     nan    nan    nan   3.437  1.427      105     1     Y    nan       0      1.00     1.00   +0.000     0     nan
 1000000    -6.98      130  18.46      nan     nan    nan    nan   3.740  1.435       99     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1020000    -7.09      130  18.11      nan     nan    nan    nan   3.777  1.434      109     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1040000    -6.91      117  16.81      nan     nan    nan    nan   3.895  1.443      100     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1060000    -7.04      130  17.52      nan     nan    nan    nan   3.825  1.431       86     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1080000    -6.90      130  18.03      nan     nan    nan    nan   3.762  1.423       93     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1100000    -6.94      130  18.27      nan     nan    nan    nan   3.606  1.427      100     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1120000    -6.61      130  17.84      nan     nan    nan    nan   3.650  1.424      133     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1140000    -6.87      130  17.80      nan     nan    nan    nan   3.763  1.427      107     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1160000    -6.99      130  18.07      nan     nan    nan    nan   3.500  1.421      104     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1180000    -6.97      130  17.45      nan     nan    nan    nan   3.540  1.426      112     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1200000    -6.89      128  17.11      nan     nan    nan    nan   3.480  1.428       88     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1220000    -6.70      130  17.25      nan     nan    nan    nan   3.698  1.425      142     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1240000    -6.87      130  16.73      nan     nan    nan    nan   3.775  1.439       90     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1260000    -6.72      130  15.39      nan     nan    nan    nan   3.663  1.436       88     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1280000    -6.88      122  15.12      nan     nan    nan    nan   3.955  1.436       91     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1300000    -7.00      142  17.78      nan     nan    nan    nan   3.690  1.416       82     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1320000    -7.04      143  18.41      nan     nan    nan    nan   3.635  1.425      100     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1340000    -6.72      143  18.07      nan     nan    nan    nan   3.476  1.428       95     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1360000    -6.66      103  14.20      nan     nan    nan    nan   3.874  1.412      102     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1380000    -6.71      128  18.08      nan     nan    nan    nan   3.582  1.423      125     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1400000    -6.73      143  19.49      nan     nan    nan    nan   3.542  1.416      137     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1420000    -6.90      143  18.41      nan     nan    nan    nan   3.566  1.435       93     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1440000    -6.74      143  18.19      nan     nan    nan    nan   3.614  1.413      123     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1460000    -6.79      143  18.71      nan     nan    nan    nan   3.607  1.413      123     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1480000    -6.84      143  19.15      nan     nan    nan    nan   3.483  1.428      126     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1500000    -6.62      143  18.24      nan     nan    nan    nan   3.446  1.411      139     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1520000    -6.82      143  18.59      nan     nan    nan    nan   3.626  1.433       98     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1540000    -6.65      143  17.93      nan     nan    nan    nan   3.586  1.412       82     2     Y    nan       0      1.00     1.00   +0.000     0     nan
 1560000    -7.17      143  17.36      nan     nan    nan    nan   3.830  1.431      119     1     Y    nan       0      1.00     1.00   +0.000     0     nan
 1580000    -6.99      143  16.76      nan     nan    nan    nan   3.654  1.426      108     2     Y    nan       0      1.00     1.00   +0.000     0     nan
 1600000    -6.85      143  17.97      nan     nan    nan    nan   3.577  1.429      124     1     Y    nan       0      1.00     1.00   +0.000     0     nan
