MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=random
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     7.28        8   1.50    0.514   2.483  0.883 -0.470  -0.438  1.151        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   20000    -5.87       16   4.27    0.458   2.305  0.821  0.202   3.297  1.351        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   40000    -6.27       22   5.72    0.459   2.667  0.828 -0.095   3.170  1.400        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   60000    -6.22       22   5.00    0.448   2.146  0.875  0.159   3.545  1.350        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   80000    -6.53       32   5.46    0.486   2.955  0.839  0.010   3.445  1.379        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  100000    -6.53       32   6.42    0.458   2.483  0.800  0.071   3.461  1.404        0     0     n   0.21       2      1.00     1.00   +0.000     0     nan
  120000    -6.23       32   6.48    0.455   2.218  0.847 -0.070   3.273  1.418        0     0     n   0.20       2      1.00     1.00   +0.000     0     nan
  140000    -6.72       34   7.11    0.471   2.557  0.869  0.098   3.419  1.417        0     0     n   0.65      10      1.00     1.00   +0.000     0     nan
  160000    -6.66       34   6.56    0.495   3.009  0.821 -0.006   3.603  1.415        0     0     n   0.48       5      1.00     1.00   +0.000     0     nan
  180000    -6.42       46   9.07    0.491   2.634  0.810 -0.012   3.261  1.422        0     0     n   0.68      28      1.00     1.00   +0.000     0     nan
  200000    -6.73       46   9.42    0.505   2.969  0.812  0.172   3.864  1.435        0     0     n   0.53      25      1.00     1.00   +0.000     0     nan
  220000    -6.62       46   8.91    0.465   2.506  0.859  0.172   3.348  1.413        0     0     n   0.47      18      1.00     1.00   +0.000     0     nan
  240000    -6.80       61  12.00      nan     nan    nan    nan   3.639  1.442        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  260000    -6.72       61  11.78      nan     nan    nan    nan   3.582  1.437        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  280000    -6.70       61  11.92      nan     nan    nan    nan   3.582  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  300000    -6.74       60  12.27      nan     nan    nan    nan   3.625  1.430        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  320000    -6.54       61  11.67      nan     nan    nan    nan   3.488  1.430        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  340000    -6.62       61  11.24      nan     nan    nan    nan   3.320  1.413        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  360000    -6.89       61  10.55      nan     nan    nan    nan   3.475  1.445        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  380000    -6.89       61  11.28      nan     nan    nan    nan   3.500  1.422        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  400000    -6.88       61  11.13      nan     nan    nan    nan   3.828  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  420000    -6.76       56  10.35      nan     nan    nan    nan   3.759  1.412        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  440000    -6.71       61  10.67      nan     nan    nan    nan   3.443  1.457        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  460000    -6.77       61  10.49      nan     nan    nan    nan   3.582  1.439        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  480000    -6.56       61  11.19      nan     nan    nan    nan   3.332  1.445        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  500000    -6.72       61  10.95      nan     nan    nan    nan   3.750  1.432        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  520000    -6.69       61  11.03      nan     nan    nan    nan   3.500  1.417        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  540000    -6.73       61  10.43      nan     nan    nan    nan   3.516  1.424        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  560000    -6.63       61  11.59      nan     nan    nan    nan   3.648  1.404        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  580000    -6.58       61  11.46      nan     nan    nan    nan   3.766  1.428        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  600000    -6.63       61  11.14      nan     nan    nan    nan   3.648  1.434        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
