MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=random
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     6.43        5   1.92    0.451   1.684  1.023 -0.306   2.000  0.976        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   20000    -6.32       21   6.15    0.420   1.900  0.882  0.406   4.107  1.440        0     0     n   0.54       4      1.00     1.00   +0.000     0     nan
   40000    -6.36       16   4.28    0.435   1.651  0.779  0.215   3.359  1.443        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   60000    -6.53       24   5.84    0.448   2.022  0.833  0.059   3.573  1.428        0     0     n   0.18       1      1.00     1.00   +0.000     0     nan
   80000    -6.79       30   6.48    0.498   3.360  0.792  0.067   3.825  1.448        0     0     n   0.41       4      1.00     1.00   +0.000     0     nan
  100000    -6.78       30   7.02    0.540   3.833  0.799 -0.206   3.950  1.445        0     0     n   0.07       1      1.00     1.00   +0.000     0     nan
  120000    -6.92       30   6.75    0.549   4.622  0.852 -0.010   3.383  1.430        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  140000    -6.96       30   7.43    0.523   3.475  0.830  0.001   3.500  1.434        0     0     n   0.21       4      1.00     1.00   +0.000     0     nan
  160000    -6.87       30   6.75    0.516   3.475  0.857  0.103   3.775  1.425        0     0     n   0.33       4      1.00     1.00   +0.000     0     nan
  180000    -6.97       30   7.18    0.478   2.923  0.830  0.078   4.125  1.451        0     0     n   0.62      10      1.00     1.00   +0.000     0     nan
  200000    -6.83       30   7.23    0.488   2.519  0.791 -0.055   3.483  1.440        0     0     n   0.30       5      1.00     1.00   +0.000     0     nan
  220000    -7.01       30   7.27    0.503   3.475  0.826  0.017   3.783  1.455        0     0     n   0.58      10      1.00     1.00   +0.000     0     nan
  240000    -6.83       30   7.39    0.528   3.833  0.868 -0.173   3.550  1.442        0     0     n   0.32       6      1.00     1.00   +0.000     0     nan
  260000    -6.76       47  10.15      nan     nan    nan    nan   3.872  1.458        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  280000    -6.76       47  10.02      nan     nan    nan    nan   3.218  1.438        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  300000    -6.98       47   8.83    0.464   2.253  0.821  0.085   3.649  1.449        0     0     n   0.78      29      1.00     1.00   +0.000     0     nan
  320000    -6.96       47   9.91      nan     nan    nan    nan   3.596  1.445        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  340000    -7.02       47   9.57      nan     nan    nan    nan   3.941  1.455        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  360000    -6.88       47   9.59      nan     nan    nan    nan   3.410  1.424        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  380000    -6.88       47   9.41      nan     nan    nan    nan   4.037  1.430        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  400000    -7.11       47   9.69      nan     nan    nan    nan   4.043  1.441        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  420000    -7.12       47   9.09    0.489   2.878  0.808 -0.021   3.543  1.457        0     0     n   0.41      17      1.00     1.00   +0.000     0     nan
  440000    -6.89       47   9.56    0.445   2.433  0.843  0.109   3.660  1.447        0     0     n   0.65      32      1.00     1.00   +0.000     0     nan
  460000    -6.96       69  13.14      nan     nan    nan    nan   3.351  1.447        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  480000    -6.97       69  12.82      nan     nan    nan    nan   3.185  1.441        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  500000    -6.98       69  13.42      nan     nan    nan    nan   3.341  1.453        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  520000    -7.00      116  19.73      nan     nan    nan    nan   3.746  1.441        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  540000    -6.91      116  19.91      nan     nan    nan    nan   3.625  1.452        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  560000    -6.92      114  19.40      nan     nan    nan    nan   3.719  1.440        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  580000    -6.92      147  20.58      nan     nan    nan    nan   3.597  1.442        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  600000    -6.86       75  13.82      nan     nan    nan    nan   3.670  1.437        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  620000    -6.84       75  13.94      nan     nan    nan    nan   3.800  1.436        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  640000    -7.19       75  12.82      nan     nan    nan    nan   3.933  1.448        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  660000    -7.27       75  17.40      nan     nan    nan    nan   3.853  1.447        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  680000    -7.04       75  18.57      nan     nan    nan    nan   3.443  1.438        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  700000    -6.97       75  18.35      nan     nan    nan    nan   3.597  1.447        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  720000    -7.06       75  19.45      nan     nan    nan    nan   3.667  1.454        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  740000    -7.05       75  18.70      nan     nan    nan    nan   3.697  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  760000    -6.87       75  19.00      nan     nan    nan    nan   3.293  1.440        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  780000    -6.90       75  18.90      nan     nan    nan    nan   3.620  1.418        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  800000    -6.91       75  19.01      nan     nan    nan    nan   3.663  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  820000    -7.04       75  19.48      nan     nan    nan    nan   3.460  1.445        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  840000    -6.90       75  18.70      nan     nan    nan    nan   3.543  1.444        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  860000    -6.84       75  19.54      nan     nan    nan    nan   3.597  1.423        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  880000    -6.97       75  17.79      nan     nan    nan    nan   3.387  1.432        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  900000    -6.81       75  15.91      nan     nan    nan    nan   3.553  1.440      150     1     n    nan       0      1.00     1.00   +0.000     0     nan
  920000    -6.89       75  17.62      nan     nan    nan    nan   3.300  1.446      128     1     n    nan       0      1.00     1.00   +0.000     0     nan
  940000    -7.14       75  19.61      nan     nan    nan    nan   3.423  1.433      144     1     n    nan       0      1.00     1.00   +0.000     0     nan
  960000    -6.82       75  18.96      nan     nan    nan    nan   3.850  1.460        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  980000    -7.15      149  24.82      nan     nan    nan    nan   3.638  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1000000    -7.03      149  25.75      nan     nan    nan    nan   3.569  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1020000    -7.11      149  25.64      nan     nan    nan    nan   3.669  1.445        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1040000    -6.95      149  26.89      nan     nan    nan    nan   3.725  1.433        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1060000    -7.12      149  26.58      nan     nan    nan    nan   3.639  1.418        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1080000    -7.21      160  25.66      nan     nan    nan    nan   3.648  1.426        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1100000    -7.10      160  25.08      nan     nan    nan    nan   3.583  1.437        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1120000    -7.17      160  25.09      nan     nan    nan    nan   3.614  1.428        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1140000    -7.15      160  25.25      nan     nan    nan    nan   3.628  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1160000    -7.03      160  25.32      nan     nan    nan    nan   3.484  1.434        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1180000    -6.92      160  26.13      nan     nan    nan    nan   3.484  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1200000    -7.14      160  24.34      nan     nan    nan    nan   3.786  1.439        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1220000    -7.08      160  23.97      nan     nan    nan    nan   3.584  1.434        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1240000    -6.86      160  24.31      nan     nan    nan    nan   3.509  1.432        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1260000    -7.17      160  23.25      nan     nan    nan    nan   3.611  1.439        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1280000    -7.00      160  23.54      nan     nan    nan    nan   3.470  1.428        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1300000    -7.01      160  23.26      nan     nan    nan    nan   3.547  1.430        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1320000    -6.91      160  24.26      nan     nan    nan    nan   3.572  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1340000    -7.09      160  23.86      nan     nan    nan    nan   3.533  1.437        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1360000    -7.07      160  25.25      nan     nan    nan    nan   3.667  1.440        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1380000    -6.87      160  24.59      nan     nan    nan    nan   3.484  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1400000    -7.01      160  23.45      nan     nan    nan    nan   3.592  1.436        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1420000    -7.09      160  23.36      nan     nan    nan    nan   3.536  1.434        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1440000    -6.88       82  13.62      nan     nan    nan    nan   3.729  1.436        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1460000    -7.00      159  24.83      nan     nan    nan    nan   3.574  1.430        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1480000    -7.07      160  25.78      nan     nan    nan    nan   3.569  1.421        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1500000    -7.13      160  26.40      nan     nan    nan    nan   3.525  1.432        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1520000    -6.86      160  25.80      nan     nan    nan    nan   3.416  1.422        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1540000    -7.09      160  25.76      nan     nan    nan    nan   3.314  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1560000    -6.89      160  27.61      nan     nan    nan    nan   3.369  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1580000    -7.10       96  14.78      nan     nan    nan    nan   3.310  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1600000    -7.09      101  15.01      nan     nan    nan    nan   3.750  1.442        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
