MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=random
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     6.02       11   3.30    0.462   2.400  0.904 -0.202   0.955  1.308        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   20000    -6.21       19   4.64    0.445   2.141  0.885 -0.191   2.776  1.416        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   40000    -6.36       19   4.28    0.399   1.351  0.813  0.173   2.895  1.395        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   60000    -6.36       22   5.21    0.420   1.905  0.806  0.044   2.693  1.397        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   80000    -6.58       46   9.35    0.483   2.832  0.829  0.033   3.364  1.427        0     0     n   0.52      24      1.00     1.00   +0.000     0     nan
  100000    -6.59       46   9.47    0.478   2.765  0.815  0.020   2.793  1.434        0     0     n   0.44      21      1.00     1.00   +0.000     0     nan
  120000    -6.63       46   9.05    0.478   2.570  0.824  0.077   2.908  1.417        0     0     n   0.54      22      1.00     1.00   +0.000     0     nan
  140000    -6.47       45   9.17    0.468   2.327  0.826 -0.010   3.167  1.421        0     0     n   0.51      22      1.00     1.00   +0.000     0     nan
  160000    -6.64       46   9.49    0.468   2.506  0.814  0.050   3.554  1.464        0     0     n   0.41      20      1.00     1.00   +0.000     0     nan
  180000    -6.97       50   9.03    0.480   2.475  0.833 -0.042   3.040  1.436        0     0     n   0.37      15      1.00     1.00   +0.000     0     nan
  200000    -6.95       50   8.95    0.475   2.592  0.815 -0.033   3.650  1.446        0     0     n   0.28      11      1.00     1.00   +0.000     0     nan
  220000    -6.83       50   8.67    0.470   2.418  0.829  0.061   3.285  1.423       65     1     n   0.26       9      1.00     1.00   +0.000     0     nan
  240000    -6.79       50   8.54    0.437   1.979  0.802 -0.041   3.325  1.427       49     1     n   0.30      10      1.00     1.00   +0.000     0     nan
  260000    -7.15       48   8.67    0.449   2.133  0.826  0.066   3.510  1.438       47     1     n   0.23       8      1.00     1.00   +0.000     0     nan
  280000    -7.06       50   9.66    0.439   2.194  0.809  0.080   3.400  1.437       57     1     n   0.47      24      1.00     1.00   +0.000     0     nan
  300000    -6.92       50   9.47    0.423   1.875  0.799  0.132   3.440  1.434        0     0     n   0.40      19      1.00     1.00   +0.000     0     nan
  320000    -6.87       50   8.98    0.425   1.824  0.788  0.120   3.090  1.439        0     0     n   0.40      16      1.00     1.00   +0.000     0     nan
  340000    -6.92       50   9.06    0.393   1.480  0.812  0.173   3.620  1.439       49     1     n   0.56      23      1.00     1.00   +0.000     0     nan
  360000    -7.16       50   8.90    0.423   1.824  0.798  0.169   3.225  1.427       43     1     n   0.65      25      1.00     1.00   +0.000     0     nan
  380000    -7.00       50   9.05    0.452   2.249  0.807  0.067   3.370  1.420        0     0     n   0.29      12      1.00     1.00   +0.000     0     nan
  400000    -6.96       50   9.08    0.427   1.927  0.811  0.094   3.130  1.423       49     1     n   0.48      20      1.00     1.00   +0.000     0     nan
  420000    -6.90       50   9.93      nan     nan    nan    nan   3.500  1.439        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  440000    -7.03       44   9.31    0.463   2.582  0.764  0.081   3.068  1.443       42     1     n   0.57      26      1.00     1.00   +0.000     0     nan
  460000    -7.12       52  12.45      nan     nan    nan    nan   3.553  1.414        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  480000    -7.19       52  11.97      nan     nan    nan    nan   3.433  1.443        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  500000    -6.97       52  12.26      nan     nan    nan    nan   2.644  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  520000    -7.29       52  11.65      nan     nan    nan    nan   3.673  1.443        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  540000    -7.14       52  12.12      nan     nan    nan    nan   3.510  1.417        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  560000    -7.03       52  12.11      nan     nan    nan    nan   3.433  1.433        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  580000    -7.08       52  11.83      nan     nan    nan    nan   3.442  1.437        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  600000    -7.18       52  11.97      nan     nan    nan    nan   3.255  1.447        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
