MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=random
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     5.05        9   2.67    0.463   2.500  0.938  0.400   0.000  1.218        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   20000    -6.33       19   4.97    0.473   2.588  0.878 -0.020   3.382  1.376        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   40000    -6.45       24   4.95    0.471   2.988  0.838 -0.021   3.906  1.376        0     0     n   0.69       1      1.00     1.00   +0.000     0     nan
   60000    -6.54       24   5.19    0.481   2.605  0.783  0.136   3.479  1.431        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   80000    -6.39       25   5.14    0.495   2.977  0.837 -0.069   2.520  1.342        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  100000    -6.69       25   5.79    0.484   2.977  0.875  0.073   3.350  1.389        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  120000    -6.91       29   6.21    0.505   3.417  0.857 -0.078   3.716  1.370        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  140000    -6.68       29   6.89    0.509   3.537  0.803 -0.072   3.474  1.402        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  160000    -6.75       57  12.52      nan     nan    nan    nan   3.561  1.406        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  180000    -6.60       58  11.80      nan     nan    nan    nan   3.491  1.398        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  200000    -6.93       58  11.61      nan     nan    nan    nan   3.991  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  220000    -7.10       58  11.60      nan     nan    nan    nan   3.776  1.425        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  240000    -6.75       58  10.52      nan     nan    nan    nan   3.647  1.420        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  260000    -6.79       58   9.93      nan     nan    nan    nan   3.478  1.412        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  280000    -6.74       58  10.65      nan     nan    nan    nan   3.595  1.406        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  300000    -6.95       58  11.29      nan     nan    nan    nan   3.694  1.401        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  320000    -6.50       58  11.40      nan     nan    nan    nan   3.392  1.413        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  340000    -6.51       76  15.97      nan     nan    nan    nan   3.289  1.396        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  360000    -6.80       76  15.85      nan     nan    nan    nan   3.556  1.418        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  380000    -6.86       76  15.24      nan     nan    nan    nan   3.553  1.406        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  400000    -6.81       76  14.95      nan     nan    nan    nan   3.796  1.429        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  420000    -6.85       76  14.30      nan     nan    nan    nan   3.503  1.426        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  440000    -6.98       76  13.75      nan     nan    nan    nan   3.734  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  460000    -7.00       76  14.94      nan     nan    nan    nan   3.543  1.419        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  480000    -6.73       69  12.79      nan     nan    nan    nan   3.355  1.415        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  500000    -6.93       76  15.47      nan     nan    nan    nan   3.681  1.433        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  520000    -6.95      108  18.43      nan     nan    nan    nan   3.447  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  540000    -6.96      124  22.92      nan     nan    nan    nan   3.722  1.434        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  560000    -7.14      124  22.86      nan     nan    nan    nan   3.462  1.426        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  580000    -7.10      124  23.21      nan     nan    nan    nan   3.907  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  600000    -7.08      124  21.66      nan     nan    nan    nan   3.796  1.443        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  620000    -6.89      119  22.57      nan     nan    nan    nan   3.685  1.426        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  640000    -7.04      124  21.59      nan     nan    nan    nan   3.712  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  660000    -6.95      124  21.42      nan     nan    nan    nan   3.718  1.424        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  680000    -6.82      124  21.83      nan     nan    nan    nan   3.484  1.424        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  700000    -6.96      124  21.14      nan     nan    nan    nan   3.589  1.424        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  720000    -6.92      124  21.79      nan     nan    nan    nan   3.659  1.433        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  740000    -6.90      124  20.56      nan     nan    nan    nan   3.486  1.425        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  760000    -6.92      124  20.77      nan     nan    nan    nan   3.609  1.423        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  780000    -6.89      124  21.07      nan     nan    nan    nan   3.442  1.421        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  800000    -7.10      124  21.45      nan     nan    nan    nan   3.613  1.423        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  820000    -6.85       69  11.24    0.398   1.513  0.802  0.154   3.489  1.430        0     0     n   0.81      68      1.00     1.00   +0.000     0     nan
  840000    -6.77      124  21.27      nan     nan    nan    nan   3.585  1.425        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  860000    -6.86      124  20.93      nan     nan    nan    nan   3.565  1.415        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  880000    -6.76      124  19.96      nan     nan    nan    nan   3.480  1.423        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  900000    -6.68      111  17.90      nan     nan    nan    nan   3.685  1.430        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  920000    -7.01      124  19.13      nan     nan    nan    nan   3.514  1.415       55     1     n    nan       0      1.00     1.00   +0.000     0     nan
  940000    -6.98      124  19.80      nan     nan    nan    nan   3.508  1.422       70     1     n    nan       0      1.00     1.00   +0.000     0     nan
  960000    -6.97      124  19.50      nan     nan    nan    nan   3.538  1.407       77     1     n    nan       0      1.00     1.00   +0.000     0     nan
  980000    -7.02      124  19.15      nan     nan    nan    nan   3.569  1.413       81     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1000000    -6.86      114  18.34      nan     nan    nan    nan   3.390  1.414       76     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1020000    -6.87      114  18.92      nan     nan    nan    nan   3.546  1.422       67     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1040000    -6.92       66  12.60      nan     nan    nan    nan   3.674  1.404        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1060000    -7.02       66  13.46      nan     nan    nan    nan   3.402  1.404        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1080000    -6.99      124  19.54      nan     nan    nan    nan   3.383  1.417       74     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1100000    -7.28      124  20.31      nan     nan    nan    nan   3.448  1.430       66     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1120000    -7.10      124  20.11      nan     nan    nan    nan   3.431  1.420       74     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1140000    -6.88      124  20.44      nan     nan    nan    nan   3.560  1.433       69     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1160000    -7.20      124  20.57      nan     nan    nan    nan   3.865  1.443       73     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1180000    -6.91      124  20.67      nan     nan    nan    nan   3.381  1.423       73     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1200000    -7.16      124  20.30      nan     nan    nan    nan   3.621  1.428       82     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1220000    -6.78      124  20.20      nan     nan    nan    nan   3.438  1.407       92     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1240000    -7.07      124  20.55      nan     nan    nan    nan   3.548  1.434       80     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1260000    -7.02      124  20.57      nan     nan    nan    nan   3.627  1.440       60     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1280000    -6.74      124  20.73      nan     nan    nan    nan   3.337  1.431       75     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1300000    -6.99      124  21.10      nan     nan    nan    nan   3.538  1.413       82     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1320000    -6.76      124  21.44      nan     nan    nan    nan   3.542  1.436       65     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1340000    -7.09      124  20.94      nan     nan    nan    nan   3.466  1.419       57     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1360000    -7.04      124  20.68      nan     nan    nan    nan   3.490  1.431       73     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1380000    -7.01      134  22.61      nan     nan    nan    nan   3.416  1.436       54     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1400000    -6.95      131  23.34      nan     nan    nan    nan   3.700  1.433       72     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1420000    -7.07      102  15.44      nan     nan    nan    nan   3.623  1.433       97     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1440000    -7.07      102  14.60      nan     nan    nan    nan   3.400  1.431       58     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1460000    -6.83      102  15.06      nan     nan    nan    nan   3.574  1.435       79     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1480000    -6.81      102  14.22      nan     nan    nan    nan   3.218  1.411       91     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1500000    -7.14      102  14.18      nan     nan    nan    nan   3.549  1.439       70     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1520000    -7.11       88  14.66      nan     nan    nan    nan   3.906  1.455        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1540000    -7.14      102  13.78      nan     nan    nan    nan   3.723  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1560000    -7.06       97  13.39      nan     nan    nan    nan   3.662  1.425      125     2     n    nan       0      1.00     1.00   +0.000     0     nan
 1580000    -6.87       97  15.06      nan     nan    nan    nan   3.466  1.421      111     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1600000    -6.95       97  15.43      nan     nan    nan    nan   3.611  1.435      121     2     n    nan       0      1.00     1.00   +0.000     0     nan
