steric push-off: E/lipid -17.5 -> -20.9, min non-bonded r 0.644 -> 0.850
MIXTURE 2-D: 0 short (2 tails) + 80 long (4 tails) + 956 water, L=44.0, packing fraction 0.55, kT=0.45, start=ring
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0    -7.88       80  17.47      nan     nan    nan    nan   2.663  1.461     1296     1     n    nan       0      1.00     1.00   +0.000     1   1.169
    5000    -7.68       80  17.53      nan     nan    nan    nan   3.841  1.449     1451     1     n    nan       0      1.00     1.00   +0.000     1   1.055
   10000    -7.46       80  17.33      nan     nan    nan    nan   3.878  1.455     1434     1     n    nan       0      1.00     1.00   +0.000     1   1.068
   15000    -7.30       80  16.88      nan     nan    nan    nan   3.397  1.447     1535     1     n    nan       0      1.00     1.00   +0.000     1   0.983
   20000    -7.52       80  17.27      nan     nan    nan    nan   3.431  1.445     1490     1     n    nan       0      1.00     1.00   +0.000     1   1.032
   25000    -7.25       80  17.23      nan     nan    nan    nan   3.853  1.438     1527     1     n    nan       0      1.00     1.00   +0.000     1   0.994
   30000    -7.51       80  16.45      nan     nan    nan    nan   3.944  1.441        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
   35000    -7.22       80  16.40      nan     nan    nan    nan   3.734  1.441     1560     1     n    nan       0      1.00     1.00   +0.000     1   0.979
   40000    -7.38       80  16.13      nan     nan    nan    nan   3.569  1.421     1560     1     n    nan       0      1.00     1.00   +0.000     1   1.003
   45000    -7.36       80  16.26      nan     nan    nan    nan   3.794  1.440     1574     1     n    nan       0      1.00     1.00   +0.000     1   0.967
   50000    -7.28       80  16.12      nan     nan    nan    nan   3.625  1.440     1504     1     n    nan       0      1.00     1.00   +0.000     1   1.030
   55000    -7.07       80  16.59      nan     nan    nan    nan   3.728  1.447     1552     1     n    nan       0      1.00     1.00   +0.000     1   0.988
   60000    -7.19       80  16.81      nan     nan    nan    nan   3.784  1.439        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
   65000    -7.46       80  16.80      nan     nan    nan    nan   3.791  1.450        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
   70000    -7.39       80  16.98      nan     nan    nan    nan   3.516  1.445        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
   75000    -7.49       80  17.07      nan     nan    nan    nan   3.853  1.449        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
   80000    -7.30       80  16.77      nan     nan    nan    nan   3.644  1.428        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
   85000    -7.48       80  16.84      nan     nan    nan    nan   3.416  1.432        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
   90000    -7.23       80  16.18      nan     nan    nan    nan   3.741  1.455     1567     1     n    nan       0      1.00     1.00   +0.000     1   1.004
   95000    -7.41       80  17.20      nan     nan    nan    nan   3.650  1.455     1549     1     n    nan       0      1.00     1.00   +0.000     1   1.019
  100000    -7.17       80  16.73      nan     nan    nan    nan   3.584  1.444     1495     1     n    nan       0      1.00     1.00   +0.000     1   1.042
  105000    -7.47       80  15.49      nan     nan    nan    nan   3.584  1.455     1548     1     n    nan       0      1.00     1.00   +0.000     1   1.029
  110000    -7.32       80  15.45      nan     nan    nan    nan   3.600  1.443     1507     1     n    nan       0      1.00     1.00   +0.000     1   1.046
  115000    -7.33       80  15.05      nan     nan    nan    nan   3.803  1.455     1510     1     n    nan       0      1.00     1.00   +0.000     1   1.033
  120000    -7.45       80  15.31      nan     nan    nan    nan   3.509  1.434     1531     1     n    nan       0      1.00     1.00   +0.000     1   1.027
  125000    -7.40       44  12.35      nan     nan    nan    nan   3.835  1.444        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  130000    -7.32       80  15.80      nan     nan    nan    nan   3.653  1.461     1467     1     n    nan       0      1.00     1.00   +0.000     1   1.067
  135000    -6.95       80  16.25      nan     nan    nan    nan   3.275  1.444        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  140000    -7.36       80  16.07      nan     nan    nan    nan   3.553  1.436        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  145000    -7.23       80  16.64      nan     nan    nan    nan   3.644  1.449        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  150000    -7.14       80  15.96      nan     nan    nan    nan   3.472  1.449     1443     1     n    nan       0      1.00     1.00   +0.000     1   1.082
  155000    -7.31       80  14.90      nan     nan    nan    nan   3.534  1.445     1349     1     n    nan       0      1.00     1.00   +0.000     1   1.135
  160000    -7.38       80  15.24      nan     nan    nan    nan   3.591  1.458     1299     1     n    nan       0      1.00     1.00   +0.000     1   1.180
  165000    -7.22       80  16.30      nan     nan    nan    nan   3.562  1.433     1227     1     n    nan       0      1.00     1.00   +0.000     1   1.246
  170000    -7.33       80  15.63      nan     nan    nan    nan   3.534  1.451     1296     1     n    nan       0      1.00     1.00   +0.000     1   1.184
  175000    -7.42       80  15.87      nan     nan    nan    nan   3.528  1.440     1292     1     n    nan       0      1.00     1.00   +0.000     1   1.173
  180000    -7.55       80  16.53      nan     nan    nan    nan   3.525  1.444     1246     1     n    nan       0      1.00     1.00   +0.000     1   1.245
  185000    -7.47       80  16.44      nan     nan    nan    nan   3.628  1.443     1181     1     n    nan       0      1.00     1.00   +0.000     1   1.290
  190000    -7.48       80  16.45      nan     nan    nan    nan   3.672  1.437     1075     1     n    nan       0      1.00     1.00   +0.000     1   1.424
  195000    -7.00       80  16.37      nan     nan    nan    nan   3.450  1.433     1167     1     n    nan       0      1.00     1.00   +0.000     1   1.312
  200000    -7.08       80  16.33      nan     nan    nan    nan   3.450  1.436     1234     1     n    nan       0      1.00     1.00   +0.000     1   1.262
  205000    -7.28       80  15.98      nan     nan    nan    nan   3.466  1.426     1266     1     n    nan       0      1.00     1.00   +0.000     1   1.228
  210000    -7.09       80  15.91      nan     nan    nan    nan   3.497  1.434     1171     1     n    nan       0      1.00     1.00   +0.000     1   1.299
  215000    -7.57       80  16.11      nan     nan    nan    nan   3.669  1.413     1157     1     n    nan       0      1.00     1.00   +0.000     1   1.335
  220000    -7.21       80  15.95      nan     nan    nan    nan   3.416  1.415     1176     1     n    nan       0      1.00     1.00   +0.000     1   1.298
  225000    -7.36       80  15.78      nan     nan    nan    nan   3.597  1.442     1186     1     n    nan       0      1.00     1.00   +0.000     1   1.278
  230000    -7.24       80  15.58      nan     nan    nan    nan   3.469  1.432     1167     1     n    nan       0      1.00     1.00   +0.000     1   1.313
  235000    -7.62       80  15.46      nan     nan    nan    nan   3.903  1.441     1132     1     n    nan       0      1.00     1.00   +0.000     1   1.366
  240000    -7.37       80  14.91      nan     nan    nan    nan   3.781  1.421     1153     1     n    nan       0      1.00     1.00   +0.000     1   1.346
  245000    -7.50       80  15.08      nan     nan    nan    nan   3.569  1.441     1204     1     n    nan       0      1.00     1.00   +0.000     1   1.284
  250000    -7.45       80  15.15      nan     nan    nan    nan   3.484  1.433     1097     1     n    nan       0      1.00     1.00   +0.000     1   1.390
