MIXTURE 2-D: 0 short (2 tails) + 208 long (4 tails) + 4887 water, L=92.0, packing fraction 0.55, kT=0.45, start=random
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     4.69        5   2.60    0.442   2.222  1.033  0.409   0.850  1.242        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   20000    -5.47       11   3.75    0.446   2.146  0.875  0.067   2.977  1.374        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   40000    -5.87       13   3.66    0.494   2.844  0.885  0.057   3.981  1.403        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   60000    -6.27       15   4.59    0.485   2.923  0.820  0.158   2.917  1.385        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   80000    -6.21       20   5.62    0.447   2.000  0.878 -0.072   3.537  1.397        0     0     n   0.42       2      1.00     1.00   +0.000     0     nan
  100000    -6.45       20   5.45    0.468   2.704  0.828  0.139   3.612  1.424        0     0     n   0.26       1      1.00     1.00   +0.000     0     nan
  120000    -6.44       20   6.10    0.497   3.343  0.823  0.104   3.112  1.341        0     0     n   0.50       4      1.00     1.00   +0.000     0     nan
  140000    -6.34       20   6.00    0.501   3.014  0.872 -0.082   3.025  1.417        0     0     n   0.14       1      1.00     1.00   +0.000     0     nan
  160000    -6.55       22   6.25    0.524   3.243  0.843 -0.082   3.307  1.443        0     0     n   0.11       1      1.00     1.00   +0.000     0     nan
  180000    -6.60       22   6.65    0.499   3.093  0.895 -0.096   3.568  1.400        0     0     n   0.16       2      1.00     1.00   +0.000     0     nan
  200000    -6.50       22   6.46    0.487   3.243  0.899  0.061   3.341  1.392        0     0     n   0.09       1      1.00     1.00   +0.000     0     nan
  220000    -6.56       22   5.94    0.513   3.718  0.808 -0.195   3.795  1.438        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  240000    -6.60       22   6.03    0.512   3.243  0.794 -0.054   4.034  1.444        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  260000    -6.56       28   6.56    0.390   1.252  0.826  0.236   3.473  1.391        0     0     n   0.42       5      1.00     1.00   +0.000     0     nan
  280000    -6.63       28   5.89    0.429   1.673  0.814  0.233   3.920  1.432        0     0     n   0.61       4      1.00     1.00   +0.000     0     nan
  300000    -6.58       28   5.90    0.352   1.017  0.807  0.378   3.643  1.425        0     0     n   1.07       7      1.00     1.00   +0.000     0     nan
  320000    -6.77       28   6.09    0.372   1.017  0.819  0.133   3.348  1.402        0     0     n   0.76       6      1.00     1.00   +0.000     0     nan
  340000    -6.41       39   9.84    0.516   3.212  0.842  0.204   3.250  1.432        0     0     n   0.37      23      1.00     1.00   +0.000     0     nan
  360000    -6.66       32   7.43    0.540   4.040  0.871 -0.007   3.586  1.390        0     0     n   0.37       8      1.00     1.00   +0.000     0     nan
  380000    -6.74       39   8.25    0.484   2.571  0.860  0.149   3.532  1.416        0     0     n   0.46      15      1.00     1.00   +0.000     0     nan
  400000    -6.74       39   8.09    0.487   2.725  0.833  0.184   3.865  1.420        0     0     n   0.72      22      1.00     1.00   +0.000     0     nan
  420000    -6.67       39   9.19    0.469   2.882  0.817  0.111   3.494  1.424        0     0     n   0.67      33      1.00     1.00   +0.000     0     nan
  440000    -6.97       39   9.03    0.493   2.725  0.842  0.055   3.801  1.419        0     0     n   0.65      30      1.00     1.00   +0.000     0     nan
  460000    -6.76       39   9.08    0.484   3.212  0.833  0.131   3.558  1.420        0     0     n   0.60      28      1.00     1.00   +0.000     0     nan
  480000    -6.81       39   8.78    0.485   3.212  0.856  0.091   3.583  1.420        0     0     n   0.46      19      1.00     1.00   +0.000     0     nan
  500000    -6.73       39   7.95    0.527   3.654  0.831  0.015   3.641  1.416        0     0     n   0.28       8      1.00     1.00   +0.000     0     nan
  520000    -6.69       39   8.51    0.501   3.128  0.857  0.024   3.481  1.378        0     0     n   0.08       3      1.00     1.00   +0.000     0     nan
  540000    -6.71       39   9.09    0.463   2.963  0.893 -0.026   4.308  1.392        0     0     n   0.09       4      1.00     1.00   +0.000     0     nan
  560000    -6.56       39   8.69    0.479   2.725  0.825  0.024   3.179  1.405        0     0     n   0.35      14      1.00     1.00   +0.000     0     nan
  580000    -6.87       39   8.51    0.497   3.212  0.862 -0.037   2.942  1.371        0     0     n   0.32      12      1.00     1.00   +0.000     0     nan
  600000    -6.85       45  10.35    0.300   0.312  0.852  0.287   4.017  1.420        0     0     n   1.07      78      1.00     1.00   +0.000     0     nan
  620000    -6.75       45  10.09    0.325   0.606  0.836  0.511   3.833  1.435        0     0     n   1.06      71      1.00     1.00   +0.000     0     nan
  640000    -6.93       45  10.25    0.304   0.272  0.825  0.373   3.789  1.439        0     0     n   1.24      88      1.00     1.00   +0.000     0     nan
  660000    -6.69       45  10.18    0.320   0.606  0.836  0.459   3.717  1.452        0     0     n   1.11      77      1.00     1.00   +0.000     0     nan
  680000    -6.70       45   9.53    0.369   1.161  0.870  0.364   3.850  1.437        0     0     n   0.96      53      1.00     1.00   +0.000     0     nan
  700000    -6.88       45   9.29    0.301   0.353  0.818  0.470   3.906  1.446        0     0     n   1.22      62      1.00     1.00   +0.000     0     nan
  720000    -6.91       45   8.87    0.343   0.606  0.841  0.251   3.783  1.446        0     0     n   0.97      42      1.00     1.00   +0.000     0     nan
  740000    -6.85       45   8.97    0.326   0.312  0.856  0.359   3.822  1.430        0     0     n   1.34      60      1.00     1.00   +0.000     0     nan
  760000    -6.82       39   8.64    0.470   2.963  0.831  0.031   3.756  1.407        0     0     n   0.56      22      1.00     1.00   +0.000     0     nan
  780000    -6.99       45   9.32    0.303   0.153  0.806  0.214   3.794  1.445        0     0     n   1.42      73      1.00     1.00   +0.000     0     nan
  800000    -6.72       45   8.95    0.328   0.353  0.862  0.372   3.300  1.434        0     0     n   1.35      60      1.00     1.00   +0.000     0     nan
  820000    -6.94       45   8.94    0.322   0.436  0.814  0.394   3.628  1.448        0     0     n   1.26      56      1.00     1.00   +0.000     0     nan
  840000    -6.89       45   9.07    0.330   0.353  0.814  0.349   4.100  1.446        0     0     n   1.31      61      1.00     1.00   +0.000     0     nan
  860000    -6.84       45   9.84    0.353   0.829  0.849  0.209   3.944  1.437        0     0     n   1.07      66      1.00     1.00   +0.000     0     nan
  880000    -6.92       45   9.05    0.343   0.606  0.824  0.242   4.006  1.441        0     0     n   1.30      60      1.00     1.00   +0.000     0     nan
  900000    -6.91       45   9.32    0.338   0.606  0.805  0.485   3.833  1.429        0     0     n   1.09      56      1.00     1.00   +0.000     0     nan
  920000    -7.00       45   8.63    0.400   1.363  0.805  0.373   3.933  1.451        0     0     n   0.67      26      1.00     1.00   +0.000     0     nan
  940000    -6.95       45   8.87    0.330   0.694  0.831  0.379   3.467  1.423        0     0     n   1.00      43      1.00     1.00   +0.000     0     nan
  960000    -6.71       45   8.82    0.327   0.606  0.824  0.297   3.861  1.429        0     0     n   0.97      41      1.00     1.00   +0.000     0     nan
  980000    -6.76       45   8.00    0.372   1.261  0.838  0.208   3.844  1.405        0     0     n   0.69      20      1.00     1.00   +0.000     0     nan
 1000000    -6.81       45   8.32    0.318   0.478  0.802  0.267   3.689  1.412        0     0     n   0.74      25      1.00     1.00   +0.000     0     nan
 1020000    -6.54       45   8.67    0.331   0.520  0.824  0.312   3.611  1.426        0     0     n   1.06      42      1.00     1.00   +0.000     0     nan
 1040000    -6.76       45   8.72    0.309   0.394  0.851  0.418   3.461  1.415        0     0     n   1.24      50      1.00     1.00   +0.000     0     nan
 1060000    -7.08       39   7.54    0.451   2.278  0.813  0.291   3.423  1.376        0     0     n   0.79      18      1.00     1.00   +0.000     0     nan
 1080000    -6.81       44   8.60    0.352   0.800  0.836  0.317   3.534  1.433        0     0     n   1.15      44      1.00     1.00   +0.000     0     nan
 1100000    -6.82       45   9.31    0.345   0.784  0.843  0.326   3.667  1.427        0     0     n   0.94      48      1.00     1.00   +0.000     0     nan
 1120000    -7.02       45   9.96    0.342   0.784  0.851  0.308   3.572  1.441        0     0     n   0.87      56      1.00     1.00   +0.000     0     nan
 1140000    -6.92       48  10.63    0.344   0.727  0.821  0.108   3.562  1.437        0     0     n   0.85      68      1.00     1.00   +0.000     0     nan
 1160000    -6.88       48   9.14    0.381   1.212  0.826 -0.048   3.406  1.441        0     0     n   0.94      45      1.00     1.00   +0.000     0     nan
 1180000    -6.84       39   7.95    0.491   3.045  0.838  0.160   3.391  1.408        0     0     n   0.49      14      1.00     1.00   +0.000     0     nan
 1200000    -6.92       48   9.92    0.384   1.120  0.803  0.285   3.786  1.449        0     0     n   0.95      60      1.00     1.00   +0.000     0     nan
 1220000    -7.05       48   9.84    0.359   0.854  0.801  0.090   3.677  1.433        0     0     n   0.82      51      1.00     1.00   +0.000     0     nan
 1240000    -6.80       48   8.77    0.371   0.941  0.817  0.281   3.661  1.447        0     0     n   0.99      41      1.00     1.00   +0.000     0     nan
 1260000    -6.98       48   8.77    0.333   0.604  0.827  0.342   3.958  1.440        0     0     n   0.97      40      1.00     1.00   +0.000     0     nan
 1280000    -6.93       48   9.12    0.302   0.291  0.812  0.330   3.646  1.436        0     0     n   0.90      43      1.00     1.00   +0.000     0     nan
 1300000    -6.87       48   8.59    0.328   0.523  0.831  0.152   3.667  1.445        0     0     n   1.18      45      1.00     1.00   +0.000     0     nan
 1320000    -7.07       48   8.97    0.309   0.444  0.804  0.346   3.516  1.442        0     0     n   1.12      50      1.00     1.00   +0.000     0     nan
 1340000    -7.03       48   9.40    0.371   0.985  0.805  0.230   3.562  1.431        0     0     n   1.00      53      1.00     1.00   +0.000     0     nan
 1360000    -7.17       48   8.55    0.406   1.354  0.812  0.240   3.896  1.435        0     0     n   0.99      37      1.00     1.00   +0.000     0     nan
 1380000    -6.98       48   8.37    0.369   0.941  0.833  0.288   3.437  1.408        0     0     n   1.10      38      1.00     1.00   +0.000     0     nan
 1400000    -7.23       48   8.03    0.358   0.727  0.826  0.377   4.083  1.446        0     0     n   1.12      33      1.00     1.00   +0.000     0     nan
 1420000    -6.76       48   8.10    0.371   0.898  0.829  0.295   3.714  1.431        0     0     n   1.44      44      1.00     1.00   +0.000     0     nan
 1440000    -6.95       48   8.31    0.325   0.329  0.838  0.352   3.219  1.421        0     0     n   1.19      40      1.00     1.00   +0.000     0     nan
 1460000    -6.75       48   8.26    0.327   0.484  0.836  0.371   3.859  1.424        0     0     n   1.09      36      1.00     1.00   +0.000     0     nan
 1480000    -6.90       48   8.61    0.368   0.898  0.822  0.435   3.536  1.423        0     0     n   1.04      40      1.00     1.00   +0.000     0     nan
 1500000    -6.96       48   8.60    0.372   0.898  0.817  0.277   3.807  1.441        0     0     n   1.17      45      1.00     1.00   +0.000     0     nan
 1520000    -6.83       48   8.30    0.377   0.854  0.819  0.378   3.417  1.446        0     0     n   1.31      44      1.00     1.00   +0.000     0     nan
 1540000    -6.91       48   9.25    0.313   0.329  0.852  0.309   3.745  1.428        0     0     n   0.86      43      1.00     1.00   +0.000     0     nan
 1560000    -6.93       45   9.49    0.416   1.793  0.819  0.241   3.678  1.453        0     0     n   0.75      41      1.00     1.00   +0.000     0     nan
 1580000    -7.11       48   8.66    0.471   2.667  0.829  0.310   3.818  1.435        0     0     n   0.89      35      1.00     1.00   +0.000     0     nan
 1600000    -7.19       48   8.59    0.445   2.423  0.811  0.213   3.406  1.423        0     0     n   0.81      31      1.00     1.00   +0.000     0     nan
