MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=random
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     6.77        7   1.95    0.527   3.478  0.989  0.251   1.607  0.979        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   20000    -6.24       15   4.19    0.408   1.467  0.825  0.037   3.267  1.423        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   40000    -6.34       18   6.08    0.442   1.855  0.906  0.104   3.694  1.376        0     0     n   0.29       2      1.00     1.00   +0.000     0     nan
   60000    -6.16       33   8.75    0.468   2.314  0.830 -0.244   2.909  1.425        0     0     n   0.52      19      1.00     1.00   +0.000     0     nan
   80000    -6.46       33   8.44    0.453   2.314  0.840  0.109   3.712  1.414        0     0     n   0.51      16      1.00     1.00   +0.000     0     nan
  100000    -6.43       32   7.49    0.455   2.393  0.861  0.072   4.062  1.431        0     0     n   0.36       7      1.00     1.00   +0.000     0     nan
  120000    -6.35       35   6.61    0.457   2.215  0.819  0.317   3.079  1.405        0     0     n   0.37       4      1.00     1.00   +0.000     0     nan
  140000    -6.56       35   6.82    0.467   2.375  0.833  0.113   3.429  1.433        0     0     n   0.23       3      1.00     1.00   +0.000     0     nan
  160000    -6.69       42   7.70    0.520   3.453  0.826  0.234   3.315  1.414        0     0     n   0.32       7      1.00     1.00   +0.000     0     nan
  180000    -6.76       42   7.40    0.530   3.453  0.854  0.022   3.387  1.410        0     0     n   0.22       4      1.00     1.00   +0.000     0     nan
  200000    -6.66       42   7.33    0.507   2.904  0.831  0.177   3.310  1.384        0     0     n   0.23       4      1.00     1.00   +0.000     0     nan
  220000    -6.51       42   7.15    0.498   2.904  0.796  0.255   3.256  1.417        0     0     n   0.25       4      1.00     1.00   +0.000     0     nan
  240000    -6.72       42   7.80    0.526   3.970  0.813  0.263   3.833  1.412        0     0     n   0.22       5      1.00     1.00   +0.000     0     nan
  260000    -6.72       42   7.67    0.532   3.881  0.808  0.088   3.905  1.453        0     0     n   0.28       6      1.00     1.00   +0.000     0     nan
  280000    -6.84       42   7.73    0.531   3.793  0.813 -0.005   3.768  1.421        0     0     n   0.31       7      1.00     1.00   +0.000     0     nan
  300000    -6.47       42   8.09    0.513   3.793  0.800 -0.100   3.339  1.441        0     0     n   0.11       3      1.00     1.00   +0.000     0     nan
  320000    -6.77       42   7.58    0.553   4.246  0.833  0.044   3.667  1.439        0     0     n   0.29       6      1.00     1.00   +0.000     0     nan
  340000    -6.54       42   7.58    0.517   3.371  0.811  0.042   3.500  1.419        0     0     n   0.05       1      1.00     1.00   +0.000     0     nan
  360000    -6.80       42   8.23    0.518   3.291  0.831 -0.017   3.679  1.455        0     0     n   0.42      12      1.00     1.00   +0.000     0     nan
  380000    -6.71       42   8.24    0.508   3.133  0.846  0.185   3.435  1.415        0     0     n   0.48      14      1.00     1.00   +0.000     0     nan
  400000    -6.64       42   8.65    0.497   2.979  0.833 -0.033   3.179  1.441        0     0     n   0.29      10      1.00     1.00   +0.000     0     nan
  420000    -6.38       47  11.09      nan     nan    nan    nan   3.500  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  440000    -6.76       58  12.94      nan     nan    nan    nan   3.353  1.446        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  460000    -6.69       58  13.06      nan     nan    nan    nan   3.461  1.436        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  480000    -6.68       76  13.95      nan     nan    nan    nan   3.230  1.409        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  500000    -7.05      100  14.66      nan     nan    nan    nan   3.485  1.414        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  520000    -6.82       56  13.00      nan     nan    nan    nan   3.424  1.395        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  540000    -6.62       56  12.22      nan     nan    nan    nan   3.549  1.438        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  560000    -6.64       56  12.86      nan     nan    nan    nan   3.692  1.433        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  580000    -6.78       56  12.03      nan     nan    nan    nan   3.580  1.432        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  600000    -6.86       56  13.06      nan     nan    nan    nan   3.402  1.413        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
