MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=random
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     5.29        7   2.31    0.496   3.000  1.023 -0.537   0.893  1.031        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   20000    -6.42       16   5.13    0.486   2.857  0.841 -0.011   2.734  1.446        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   40000    -6.61       20   5.96    0.452   2.133  0.852  0.149   3.650  1.437        0     0     n   0.16       1      1.00     1.00   +0.000     0     nan
   60000    -6.91       20   5.71    0.455   2.270  0.800 -0.025   3.450  1.463        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   80000    -6.86       25   6.04    0.364   0.990  0.838  0.380   3.460  1.429        0     0     n   1.35       9      1.00     1.00   +0.000     0     nan
  100000    -6.90       25   6.03    0.388   1.255  0.828  0.229   3.680  1.448        0     0     n   0.76       5      1.00     1.00   +0.000     0     nan
  120000    -6.80       27   8.28    0.493   3.011  0.846 -0.161   3.787  1.467        0     0     n   0.61      18      1.00     1.00   +0.000     0     nan
  140000    -7.20       27   6.69    0.456   2.039  0.861  0.160   3.880  1.471        0     0     n   0.52       6      1.00     1.00   +0.000     0     nan
  160000    -7.09       29   7.81    0.453   2.340  0.886  0.185   3.784  1.415        0     0     n   0.30       7      1.00     1.00   +0.000     0     nan
  180000    -7.11       29   7.20    0.480   2.851  0.811  0.162   3.371  1.433        0     0     n   0.18       3      1.00     1.00   +0.000     0     nan
  200000    -7.15       29   7.36    0.467   2.538  0.841  0.103   3.595  1.443        0     0     n   0.66      12      1.00     1.00   +0.000     0     nan
  220000    -7.11       29   7.14    0.522   3.660  0.826 -0.043   3.405  1.439        0     0     n   0.19       3      1.00     1.00   +0.000     0     nan
  240000    -6.93       29   7.80    0.499   3.071  0.823 -0.199   3.388  1.423        0     0     n   0.34       8      1.00     1.00   +0.000     0     nan
  260000    -7.29       29   8.71    0.461   2.438  0.825  0.033   3.741  1.425        0     0     n   0.79      28      1.00     1.00   +0.000     0     nan
  280000    -7.17       29   7.38    0.482   2.960  0.797 -0.003   3.422  1.431        0     0     n   0.27       5      1.00     1.00   +0.000     0     nan
  300000    -7.26       29   7.36    0.446   2.340  0.801  0.098   3.759  1.433        0     0     n   0.55      10      1.00     1.00   +0.000     0     nan
  320000    -7.08       29   8.03    0.463   2.641  0.829  0.048   3.345  1.409        0     0     n   0.58      15      1.00     1.00   +0.000     0     nan
  340000    -7.15       29   7.17    0.457   2.340  0.869 -0.107   3.509  1.430        0     0     n   0.62      10      1.00     1.00   +0.000     0     nan
  360000    -7.16       29   8.23    0.441   2.340  0.800  0.328   3.483  1.460        0     0     n   0.56      16      1.00     1.00   +0.000     0     nan
  380000    -7.05       29   6.83    0.418   1.699  0.841  0.160   3.759  1.440        0     0     n   0.78      10      1.00     1.00   +0.000     0     nan
  400000    -7.00       29   6.83    0.380   1.210  0.793  0.391   3.397  1.443        0     0     n   0.85      11      1.00     1.00   +0.000     0     nan
  420000    -7.01       52  12.56      nan     nan    nan    nan   3.558  1.441        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  440000    -6.94       52  12.19      nan     nan    nan    nan   3.053  1.441        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  460000    -7.05       48  10.98    0.329   0.523  0.843 -0.040   3.411  1.454        0     0     n   0.88      69      1.00     1.00   +0.000     0     nan
  480000    -6.99       52  12.02      nan     nan    nan    nan   3.048  1.446        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  500000    -7.30       40   9.58    0.354   0.736  0.817  0.179   3.963  1.432        0     0     n   1.18      59      1.00     1.00   +0.000     0     nan
  520000    -7.13       55  10.83      nan     nan    nan    nan   3.423  1.443        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  540000    -7.42       55  10.85      nan     nan    nan    nan   3.623  1.446        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  560000    -7.25       55   9.70    0.321   0.700  0.831  0.186   3.518  1.424        0     0     n   0.94      49      1.00     1.00   +0.000     0     nan
  580000    -7.35       55   9.81    0.329   0.736  0.855  0.326   3.455  1.416        0     0     n   1.03      56      1.00     1.00   +0.000     0     nan
  600000    -7.38       55   9.78    0.335   0.773  0.820  0.082   3.823  1.431        0     0     n   0.84      45      1.00     1.00   +0.000     0     nan
  620000    -7.21       55   9.63    0.364   0.961  0.818  0.194   3.718  1.429        0     0     n   0.92      47      1.00     1.00   +0.000     0     nan
  640000    -7.38       55   9.65    0.352   0.961  0.833  0.133   3.395  1.426        0     0     n   0.88      45      1.00     1.00   +0.000     0     nan
  660000    -7.34       55   9.62    0.340   1.000  0.807  0.350   3.786  1.454        0     0     n   0.81      41      1.00     1.00   +0.000     0     nan
  680000    -7.21       55   9.35    0.358   1.000  0.844  0.344   3.518  1.439        0     0     n   0.85      39      1.00     1.00   +0.000     0     nan
  700000    -7.29       55   9.34    0.350   0.810  0.843  0.254   3.668  1.411        0     0     n   0.66      30      1.00     1.00   +0.000     0     nan
  720000    -7.39       55   9.37    0.377   1.118  0.803  0.111   3.523  1.440        0     0     n   0.82      38      1.00     1.00   +0.000     0     nan
  740000    -7.23       55   9.89    0.381   1.280  0.833  0.160   3.509  1.438        0     0     n   0.56      31      1.00     1.00   +0.000     0     nan
  760000    -7.26       55  10.02    0.352   0.885  0.848  0.200   3.559  1.450        0     0     n   0.48      28      1.00     1.00   +0.000     0     nan
  780000    -7.28       55  10.33    0.365   1.198  0.839  0.184   3.914  1.446        0     0     n   0.61      39      1.00     1.00   +0.000     0     nan
  800000    -7.50       55   9.58    0.385   1.363  0.797  0.099   3.982  1.441        0     0     n   0.64      32      1.00     1.00   +0.000     0     nan
  820000    -7.31       55   9.61    0.401   1.622  0.803  0.119   3.591  1.443        0     0     n   0.53      27      1.00     1.00   +0.000     0     nan
  840000    -7.13       55   8.93    0.406   1.491  0.803  0.169   3.377  1.446        0     0     n   0.59      23      1.00     1.00   +0.000     0     nan
  860000    -7.14       55   8.96    0.423   1.943  0.779  0.286   3.050  1.454        0     0     n   0.63      25      1.00     1.00   +0.000     0     nan
  880000    -7.22       56   9.30    0.384   1.252  0.833  0.055   3.344  1.434        0     0     n   0.42      19      1.00     1.00   +0.000     0     nan
  900000    -7.14      103  17.93      nan     nan    nan    nan   3.539  1.442        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  920000    -6.98      103  17.34      nan     nan    nan    nan   3.136  1.415        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  940000    -7.25      103  17.51      nan     nan    nan    nan   3.568  1.432        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  960000    -7.24      103  18.05      nan     nan    nan    nan   3.381  1.434        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  980000    -7.15      103  17.70      nan     nan    nan    nan   3.459  1.434      113     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1000000    -7.46      103  16.23      nan     nan    nan    nan   3.524  1.424       99     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1020000    -7.09      103  17.51      nan     nan    nan    nan   3.379  1.418      113     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1040000    -7.22      103  17.29      nan     nan    nan    nan   3.536  1.434      134     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1060000    -7.19      103  17.69      nan     nan    nan    nan   3.551  1.440        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1080000    -7.15      103  17.92      nan     nan    nan    nan   3.255  1.428        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1100000    -7.44      103  19.43      nan     nan    nan    nan   3.262  1.428        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1120000    -7.41      103  19.82      nan     nan    nan    nan   3.328  1.440      128     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1140000    -7.29      103  18.82      nan     nan    nan    nan   3.400  1.437       93     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1160000    -7.19      103  18.23      nan     nan    nan    nan   3.600  1.432      100     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1180000    -7.29      103  18.31      nan     nan    nan    nan   3.379  1.430      134     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1200000    -7.35      103  18.77      nan     nan    nan    nan   3.267  1.440       95     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1220000    -7.46      103  18.94      nan     nan    nan    nan   3.488  1.439      133     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1240000    -7.41      103  18.66      nan     nan    nan    nan   3.704  1.464      115     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1260000    -7.37      103  18.46      nan     nan    nan    nan   3.626  1.452      116     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1280000    -7.36      103  17.13      nan     nan    nan    nan   3.461  1.433      126     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1300000    -7.21      101  18.36      nan     nan    nan    nan   3.428  1.435      114     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1320000    -7.39      102  16.03      nan     nan    nan    nan   3.301  1.437      126     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1340000    -7.19      102  14.80      nan     nan    nan    nan   3.245  1.437      106     2     n    nan       0      1.00     1.00   +0.000     0     nan
 1360000    -7.29      102  14.28      nan     nan    nan    nan   3.475  1.428        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1380000    -7.50      103  16.06      nan     nan    nan    nan   3.587  1.437      113     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1400000    -7.10      103  15.38      nan     nan    nan    nan   3.221  1.421      113     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1420000    -7.25      103  15.18      nan     nan    nan    nan   3.437  1.420      109     2     n    nan       0      1.00     1.00   +0.000     0     nan
 1440000    -7.22      103  15.49      nan     nan    nan    nan   3.294  1.437      149     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1460000    -7.51      103  14.32      nan     nan    nan    nan   3.432  1.433      117     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1480000    -7.31      101  15.12      nan     nan    nan    nan   3.361  1.438      111     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1500000    -7.21      102  14.35      nan     nan    nan    nan   3.471  1.429      118     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1520000    -7.14      102  14.29      nan     nan    nan    nan   3.463  1.412      121     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1540000    -7.10      102  14.33      nan     nan    nan    nan   3.186  1.434      141     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1560000    -7.15       99  14.24      nan     nan    nan    nan   3.384  1.450      112     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1580000    -7.28      102  14.34      nan     nan    nan    nan   3.338  1.437      120     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1600000    -7.25      102  15.28      nan     nan    nan    nan   3.488  1.431      135     1     n    nan       0      1.00     1.00   +0.000     0     nan
