MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=state:/home/rbao/quorum-thermolife/projects/vivarium/docs/states_protected/pocket_sd45004_s0900000.npz
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0    -6.62      123  18.33      nan     nan    nan    nan   3.740  1.412      122     1     n    nan       0      1.00     1.00   +0.000     0     nan
   20000    -6.65      123  18.19      nan     nan    nan    nan   3.384  1.417      191     1     n    nan       0      1.00     1.00   +0.000     0     nan
   40000    -6.75      149  20.38      nan     nan    nan    nan   3.465  1.417       97     1     n    nan       0      1.00     1.00   +0.000     0     nan
   60000    -6.89      130  18.74      nan     nan    nan    nan   3.556  1.418      100     1     n    nan       0      1.00     1.00   +0.000     0     nan
   80000    -6.83      149  21.01      nan     nan    nan    nan   3.817  1.412       88     1     n    nan       0      1.00     1.00   +0.000     0     nan
  100000    -6.69      149  21.49      nan     nan    nan    nan   3.408  1.406      111     1     n    nan       0      1.00     1.00   +0.000     0     nan
  120000    -6.56      149  20.97      nan     nan    nan    nan   3.404  1.412      124     1     n    nan       0      1.00     1.00   +0.000     0     nan
  140000    -6.73      149  20.15      nan     nan    nan    nan   3.787  1.420       82     1     n    nan       0      1.00     1.00   +0.000     0     nan
  160000    -6.69      149  19.67      nan     nan    nan    nan   3.267  1.412      103     1     n    nan       0      1.00     1.00   +0.000     0     nan
  180000    -6.55      149  19.64      nan     nan    nan    nan   3.512  1.426      127     1     n    nan       0      1.00     1.00   +0.000     0     nan
  200000    -6.46      149  20.44      nan     nan    nan    nan   3.473  1.415      118     2     n    nan       0      1.00     1.00   +0.000     0     nan
