MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=random
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     3.74        6   2.34    0.391   1.333  0.919  0.906   0.875  1.284        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   20000    -5.92       13   3.49    0.435   1.569  0.865  0.367   2.827  1.400        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   40000    -6.35       14   4.32    0.456   2.560  0.849  0.282   2.714  1.389        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   60000    -6.38       27   6.33    0.428   1.846  0.833  0.136   3.676  1.416        0     0     n   0.92       8      1.00     1.00   +0.000     0     nan
   80000    -6.46       34   8.96    0.414   1.832  0.820  0.366   3.743  1.410        0     0     n   0.86      34      1.00     1.00   +0.000     0     nan
  100000    -6.53       45  10.46    0.432   1.965  0.806  0.165   3.761  1.456        0     0     n   0.75      50      1.00     1.00   +0.000     0     nan
  120000    -6.38       45   9.59    0.453   2.083  0.848 -0.095   2.989  1.411        0     0     n   0.42      21      1.00     1.00   +0.000     0     nan
  140000    -6.46       45   9.68      nan     nan    nan    nan   3.178  1.392        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  160000    -6.82       49   8.71      nan     nan    nan    nan   3.158  1.424        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  180000    -6.92       49   8.54      nan     nan    nan    nan   3.306  1.412        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  200000    -6.67       49   7.91      nan     nan    nan    nan   3.015  1.408        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  220000    -6.66       49   8.32      nan     nan    nan    nan   3.566  1.400        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  240000    -6.47       49   9.00      nan     nan    nan    nan   3.255  1.412        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  260000    -6.88       49   8.79      nan     nan    nan    nan   3.490  1.417        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  280000    -6.65       49   9.58      nan     nan    nan    nan   3.638  1.425        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  300000    -6.82       49   9.46      nan     nan    nan    nan   3.628  1.433        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  320000    -6.81       49   9.01      nan     nan    nan    nan   3.112  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  340000    -6.85       49   9.41    0.428   2.087  0.814  0.052   3.316  1.417        0     0     n   0.64      30      1.00     1.00   +0.000     0     nan
  360000    -7.06       49   9.61    0.425   1.872  0.840 -0.019   3.515  1.432        0     0     n   0.69      35      1.00     1.00   +0.000     0     nan
  380000    -6.66       49   9.89      nan     nan    nan    nan   3.485  1.425        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  400000    -6.76       49  10.12      nan     nan    nan    nan   3.520  1.416        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  420000    -6.66       49   9.58    0.454   2.427  0.791  0.167   3.097  1.434        0     0     n   0.52      26      1.00     1.00   +0.000     0     nan
  440000    -6.87       49   9.71      nan     nan    nan    nan   3.653  1.421        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  460000    -6.70       49  10.69      nan     nan    nan    nan   3.362  1.408        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  480000    -6.89       49  10.19      nan     nan    nan    nan   3.444  1.424        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  500000    -6.79       49   9.77      nan     nan    nan    nan   3.515  1.432        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  520000    -6.68       49   9.31      nan     nan    nan    nan   3.270  1.423        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  540000    -6.93       49   9.45      nan     nan    nan    nan   3.612  1.423        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  560000    -6.94       49   9.28    0.440   2.087  0.812  0.027   3.199  1.422        0     0     n   0.63      28      1.00     1.00   +0.000     0     nan
  580000    -6.79       49   9.55      nan     nan    nan    nan   3.276  1.400        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  600000    -6.90       38   8.97      nan     nan    nan    nan   3.849  1.440        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
