MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=state:/home/rbao/quorum-thermolife/projects/vivarium/docs/states_protected/pocket_sd45004_s0900000.npz
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0    -6.58      123  18.35      nan     nan    nan    nan   3.738  1.411      122     1     n    nan       0      1.00     1.00   +0.000     0     nan
   20000    -6.72      123  17.95      nan     nan    nan    nan   3.602  1.423      108     1     n    nan       0      1.00     1.00   +0.000     0     nan
   40000    -6.78      123  18.11      nan     nan    nan    nan   3.589  1.419      101     1     n    nan       0      1.00     1.00   +0.000     0     nan
   60000    -6.67      123  19.16      nan     nan    nan    nan   3.644  1.413      102     1     n    nan       0      1.00     1.00   +0.000     0     nan
   80000    -6.67      123  20.47      nan     nan    nan    nan   3.630  1.420       88     1     n    nan       0      1.00     1.00   +0.000     0     nan
  100000    -6.95      123  20.31      nan     nan    nan    nan   3.711  1.419      112     1     n    nan       0      1.00     1.00   +0.000     0     nan
  120000    -6.64      123  19.12      nan     nan    nan    nan   3.346  1.410        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  140000    -6.71      123  18.61      nan     nan    nan    nan   3.545  1.426       86     1     n    nan       0      1.00     1.00   +0.000     0     nan
  160000    -6.64      149  21.02      nan     nan    nan    nan   3.555  1.404      126     1     n    nan       0      1.00     1.00   +0.000     0     nan
  180000    -6.72      149  21.86      nan     nan    nan    nan   3.614  1.426       97     1     n    nan       0      1.00     1.00   +0.000     0     nan
  200000    -6.67      149  21.06      nan     nan    nan    nan   3.683  1.410      110     1     n    nan       0      1.00     1.00   +0.000     0     nan
