MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=random
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     5.08        7   2.63    0.471   1.778  0.893 -0.103  -0.071  1.317        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   20000    -6.04       13   4.43    0.445   1.959  0.806  0.036   3.519  1.485        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   40000    -6.19       23   5.91    0.478   2.506  0.828  0.022   3.663  1.448        0     0     n   0.17       1      1.00     1.00   +0.000     0     nan
   60000    -6.40       32   8.77    0.342   0.941  0.837  0.294   3.734  1.453        0     0     n   0.93      34      1.00     1.00   +0.000     0     nan
   80000    -6.76       32   8.46    0.370   1.212  0.851  0.206   4.008  1.456        0     0     n   0.85      27      1.00     1.00   +0.000     0     nan
  100000    -6.70       32   7.98    0.359   1.075  0.819  0.045   3.648  1.456        0     0     n   0.98      25      1.00     1.00   +0.000     0     nan
  120000    -6.76       32   7.90    0.304   0.386  0.822  0.269   3.719  1.459        0     0     n   1.64      40      1.00     1.00   +0.000     0     nan
  140000    -6.72       42   8.88    0.284   0.206  0.820  0.443   3.661  1.433        0     0     n   1.28      49      1.00     1.00   +0.000     0     nan
  160000    -6.62       42   9.17    0.267   0.122  0.810  0.500   3.810  1.423        0     0     n   1.33      57      1.00     1.00   +0.000     0     nan
  180000    -6.74       44   8.44    0.463   2.582  0.798  0.022   3.295  1.451        0     0     n   0.47      15      1.00     1.00   +0.000     0     nan
  200000    -6.91       44   8.46    0.450   2.321  0.800  0.103   3.443  1.443        0     0     n   0.38      12      1.00     1.00   +0.000     0     nan
  220000    -7.00       44   8.00    0.437   1.835  0.848  0.092   3.614  1.452        0     0     n   0.31       8      1.00     1.00   +0.000     0     nan
  240000    -7.06       44   7.86    0.396   1.446  0.811  0.113   3.500  1.452        0     0     n   0.46      11      1.00     1.00   +0.000     0     nan
  260000    -6.89       86  12.98      nan     nan    nan    nan   3.512  1.451        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  280000    -6.95       86  12.27      nan     nan    nan    nan   3.605  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  300000    -7.01       86  12.61      nan     nan    nan    nan   3.494  1.438        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  320000    -7.07       92  13.28      nan     nan    nan    nan   3.329  1.426        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  340000    -6.87       92  13.75      nan     nan    nan    nan   3.440  1.437        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  360000    -6.91       92  15.44      nan     nan    nan    nan   3.413  1.425        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  380000    -7.10       92  15.35      nan     nan    nan    nan   3.639  1.423        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  400000    -6.98       92  14.02      nan     nan    nan    nan   3.332  1.433        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  420000    -6.89       92  12.30      nan     nan    nan    nan   3.283  1.418        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  440000    -7.00       92  12.11      nan     nan    nan    nan   3.533  1.416        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  460000    -7.13       92  14.51      nan     nan    nan    nan   3.720  1.440        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  480000    -6.98       92  14.23      nan     nan    nan    nan   3.196  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  500000    -7.14       92  13.26      nan     nan    nan    nan   3.492  1.442        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  520000    -7.16       92  13.99      nan     nan    nan    nan   3.582  1.438        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  540000    -7.04       92  15.27      nan     nan    nan    nan   3.514  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  560000    -7.20       92  13.99      nan     nan    nan    nan   3.253  1.419        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  580000    -6.86       92  16.20      nan     nan    nan    nan   3.639  1.439        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  600000    -7.05       92  16.26      nan     nan    nan    nan   3.446  1.425        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
