MIXTURE 2-D: 0 short (2 tails) + 208 long (4 tails) + 4887 water, L=92.0, packing fraction 0.55, kT=0.45, start=random
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     2.32        5   1.79    0.544   3.500  0.991  0.136   2.750  1.032        0     0     n   0.00       0      1.00      nan   +nan     0     nan
   20000    -6.00       14   4.26    0.372   0.949  0.784  0.514   3.143  1.460        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   40000    -6.14       14   3.92    0.447   2.154  0.816  0.225   3.179  1.457        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   60000    -6.36       14   4.07    0.505   3.234  0.875 -0.232   3.339  1.420        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   80000    -6.47       15   3.89    0.457   2.327  0.833  0.043   3.267  1.439        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  100000    -6.56       16   5.02    0.436   1.806  0.812  0.236   3.422  1.419        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  120000    -6.65       16   4.66    0.488   2.857  0.847  0.018   3.734  1.399        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  140000    -6.79       16   4.52    0.466   2.305  0.814  0.183   3.391  1.421        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  160000    -6.84       16   4.47    0.515   3.692  0.827 -0.059   3.656  1.470        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  180000    -6.83       21   5.89    0.481   2.421  0.817  0.034   3.429  1.433        0     0     n   0.31       2      1.00     1.00   +0.000     0     nan
  200000    -6.80       21   6.01    0.459   2.286  0.850  0.070   4.107  1.449        0     0     n   0.14       1      1.00     1.00   +0.000     0     nan
  220000    -6.70       21   5.66    0.497   2.560  0.908 -0.084   3.452  1.459        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  240000    -6.78       21   6.37    0.506   3.478  0.809 -0.112   4.060  1.472        0     0     n   0.10       1      1.00     1.00   +0.000     0     nan
  260000    -6.97       21   6.10    0.505   3.314  0.850 -0.199   3.690  1.439        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  280000    -6.85       24   6.69    0.508   3.122  0.838 -0.102   3.385  1.421        0     0     n   0.08       1      1.00     1.00   +0.000     0     nan
  300000    -6.80       24   6.94    0.524   3.122  0.833 -0.185   3.917  1.443        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  320000    -6.89       24   6.75    0.552   3.692  0.838 -0.002   3.646  1.444        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  340000    -6.68       24   6.93    0.475   2.364  0.811  0.046   3.771  1.445        0     0     n   0.06       1      1.00     1.00   +0.000     0     nan
  360000    -6.81       39  11.24    0.527   3.746  0.833 -0.135   3.699  1.440        0     0     n   0.69      66      1.00     1.00   +0.000     0     nan
  380000    -7.03       39  10.84    0.526   3.563  0.817 -0.138   3.423  1.430        0     0     n   0.64      54      1.00     1.00   +0.000     0     nan
  400000    -7.04       28   8.55    0.501   3.083  0.833 -0.086   3.804  1.434        0     0     n   0.53      20      1.00     1.00   +0.000     0     nan
  420000    -6.88       28   7.53    0.474   2.857  0.815 -0.082   3.161  1.410        0     0     n   0.27       6      1.00     1.00   +0.000     0     nan
  440000    -7.12       28   7.51    0.504   3.083  0.857 -0.035   3.643  1.425        0     0     n   0.18       4      1.00     1.00   +0.000     0     nan
  460000    -6.99       28   7.00    0.504   3.083  0.856 -0.117   3.509  1.410        0     0     n   0.18       3      1.00     1.00   +0.000     0     nan
  480000    -6.91       28   6.70    0.470   2.535  0.833 -0.110   2.991  1.388        0     0     n   0.08       1      1.00     1.00   +0.000     0     nan
  500000    -7.00       28   7.76    0.502   3.083  0.849 -0.039   3.027  1.430        0     0     n   0.47      12      1.00     1.00   +0.000     0     nan
  520000    -7.12       28   7.92    0.507   2.969  0.846  0.007   3.866  1.427        0     0     n   0.29       8      1.00     1.00   +0.000     0     nan
  540000    -7.02       39  10.47    0.478   3.045  0.845 -0.063   3.301  1.414        0     0     n   0.72      55      1.00     1.00   +0.000     0     nan
  560000    -7.05       39   9.65    0.491   2.963  0.863  0.109   3.455  1.386        0     0     n   0.62      36      1.00     1.00   +0.000     0     nan
  580000    -6.98       39   9.74    0.481   3.045  0.828  0.150   3.603  1.414        0     0     n   0.69      41      1.00     1.00   +0.000     0     nan
  600000    -7.10       39   9.05    0.495   3.298  0.865  0.045   3.321  1.396        0     0     n   0.52      24      1.00     1.00   +0.000     0     nan
  620000    -7.11       39   8.39    0.435   1.737  0.833  0.227   3.782  1.422        0     0     n   0.80      28      1.00     1.00   +0.000     0     nan
  640000    -7.16       39   9.33    0.446   2.278  0.848  0.144   3.923  1.430        0     0     n   0.39      20      1.00     1.00   +0.000     0     nan
  660000    -6.94       39   9.20    0.435   2.207  0.825  0.226   3.494  1.438        0     0     n   0.75      37      1.00     1.00   +0.000     0     nan
  680000    -7.08       39   8.92    0.413   1.801  0.817  0.366   3.346  1.433        0     0     n   0.57      25      1.00     1.00   +0.000     0     nan
  700000    -7.21       39   8.82    0.417   1.548  0.846  0.082   3.346  1.396        0     0     n   0.78      33      1.00     1.00   +0.000     0     nan
  720000    -7.00       39   9.09    0.469   2.423  0.850  0.054   3.295  1.408        0     0     n   0.43      20      1.00     1.00   +0.000     0     nan
  740000    -7.13       39  10.99    0.485   2.882  0.819  0.102   3.564  1.434        0     0     n   0.81      72      1.00     1.00   +0.000     0     nan
  760000    -7.16       39   9.72    0.414   1.867  0.856  0.038   3.224  1.421        0     0     n   0.76      45      1.00     1.00   +0.000     0     nan
  780000    -7.22       39   9.66    0.470   2.803  0.830  0.024   3.878  1.457        0     0     n   0.67      39      1.00     1.00   +0.000     0     nan
  800000    -7.06       39   9.43    0.376   1.250  0.828  0.417   3.494  1.433        0     0     n   0.86      46      1.00     1.00   +0.000     0     nan
  820000    -7.29       39   8.43    0.391   1.548  0.856  0.148   3.917  1.428        0     0     n   0.84      30      1.00     1.00   +0.000     0     nan
  840000    -7.32       39   7.87    0.422   1.933  0.795  0.054   3.526  1.447        0     0     n   0.70      19      1.00     1.00   +0.000     0     nan
  860000    -7.14       39   8.30    0.412   1.610  0.794  0.117   3.577  1.441        0     0     n   0.77      26      1.00     1.00   +0.000     0     nan
  880000    -7.21       39   8.32    0.422   2.000  0.820  0.082   3.840  1.414        0     0     n   0.86      29      1.00     1.00   +0.000     0     nan
  900000    -6.87       39   8.09    0.469   2.571  0.841  0.200   3.429  1.411        0     0     n   0.59      18      1.00     1.00   +0.000     0     nan
  920000    -6.89       39   8.85    0.408   1.308  0.795  0.148   3.635  1.467        0     0     n   0.61      26      1.00     1.00   +0.000     0     nan
  940000    -6.94       39   8.19    0.444   1.933  0.867  0.142   3.679  1.439        0     0     n   0.50      16      1.00     1.00   +0.000     0     nan
  960000    -6.90       39   8.49    0.439   2.278  0.836  0.026   3.301  1.408        0     0     n   0.58      21      1.00     1.00   +0.000     0     nan
  980000    -7.03       39   8.01    0.428   2.000  0.797  0.167   3.660  1.443        0     0     n   0.45      13      1.00     1.00   +0.000     0     nan
 1000000    -7.24       39   8.22    0.453   2.350  0.842  0.178   3.827  1.431        0     0     n   0.47      15      1.00     1.00   +0.000     0     nan
 1020000    -7.00       39   8.69    0.458   2.496  0.842  0.239   3.468  1.412        0     0     n   0.40      16      1.00     1.00   +0.000     0     nan
 1040000    -6.78       39   9.17    0.475   2.571  0.864  0.233   3.500  1.442        0     0     n   0.66      32      1.00     1.00   +0.000     0     nan
 1060000    -7.27       39   8.77    0.412   2.068  0.803  0.462   4.167  1.438        0     0     n   0.68      28      1.00     1.00   +0.000     0     nan
 1080000    -7.21       39   9.15    0.403   1.673  0.839  0.418   3.904  1.422        0     0     n   0.77      37      1.00     1.00   +0.000     0     nan
 1100000    -7.24       39   8.66    0.470   2.496  0.820 -0.041   3.712  1.434        0     0     n   0.46      18      1.00     1.00   +0.000     0     nan
 1120000    -7.13       39   8.79    0.488   2.803  0.809 -0.034   3.981  1.440        0     0     n   0.62      26      1.00     1.00   +0.000     0     nan
 1140000    -7.28       39   8.98    0.426   2.068  0.859  0.209   4.058  1.416        0     0     n   0.73      33      1.00     1.00   +0.000     0     nan
 1160000    -7.24       39   8.71    0.405   1.673  0.828  0.319   3.462  1.421        0     0     n   0.77      31      1.00     1.00   +0.000     0     nan
 1180000    -7.14       39   8.52    0.428   2.137  0.836  0.407   4.353  1.451        0     0     n   0.54      20      1.00     1.00   +0.000     0     nan
 1200000    -7.26       39   8.47    0.388   1.487  0.833  0.251   3.718  1.425        0     0     n   0.69      25      1.00     1.00   +0.000     0     nan
 1220000    -7.28       39   8.33    0.428   2.000  0.825 -0.073   3.455  1.430        0     0     n   0.76      26      1.00     1.00   +0.000     0     nan
 1240000    -7.12       39   7.51    0.454   2.207  0.813  0.027   3.968  1.429        0     0     n   0.72      16      1.00     1.00   +0.000     0     nan
 1260000    -7.09       39   8.16    0.451   2.350  0.877 -0.018   3.558  1.405        0     0     n   0.70      22      1.00     1.00   +0.000     0     nan
 1280000    -7.11       39   7.37    0.480   2.963  0.822  0.064   3.628  1.455        0     0     n   0.63      13      1.00     1.00   +0.000     0     nan
 1300000    -7.05       39   7.33    0.482   2.725  0.823  0.086   3.487  1.399        0     0     n   0.89      18      1.00     1.00   +0.000     0     nan
 1320000    -7.18       39   7.42    0.462   2.423  0.825  0.105   3.314  1.420        0     0     n   0.71      15      1.00     1.00   +0.000     0     nan
 1340000    -7.17       39   7.61    0.479   2.725  0.831  0.125   3.519  1.411        0     0     n   0.59      14      1.00     1.00   +0.000     0     nan
 1360000    -7.11       39   7.43    0.481   2.803  0.825  0.129   3.885  1.431        0     0     n   0.56      12      1.00     1.00   +0.000     0     nan
 1380000    -7.07       39   9.41    0.419   1.801  0.809 -0.016   3.558  1.441        0     0     n   0.77      41      1.00     1.00   +0.000     0     nan
 1400000    -7.35       55  11.93    0.493   2.545  0.829  0.046   3.841  1.430        0     0     n   0.75      86      1.00     1.00   +0.000     0     nan
 1420000    -7.27       55  12.93      nan     nan    nan    nan   3.555  1.437        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1440000    -7.10       55  13.53      nan     nan    nan    nan   3.314  1.446        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1460000    -7.23       55  13.34      nan     nan    nan    nan   3.877  1.436        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1480000    -7.19       55  13.59    0.487   2.440  0.811 -0.061   3.605  1.439        0     0     n   0.82     137      1.00     1.00   +0.000     0     nan
 1500000    -7.04       54  14.32      nan     nan    nan    nan   3.639  1.437        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1520000    -7.12       55  13.63      nan     nan    nan    nan   3.427  1.415        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1540000    -7.13       55  11.94    0.486   2.492  0.841  0.011   3.464  1.427        0     0     n   0.79      90      1.00     1.00   +0.000     0     nan
 1560000    -7.39       55  12.08    0.521   3.286  0.837 -0.165   3.286  1.427        0     0     n   0.81      96      1.00     1.00   +0.000     0     nan
 1580000    -7.33       55  11.93    0.527   3.226  0.822 -0.027   3.586  1.418        0     0     n   0.64      73      1.00     1.00   +0.000     0     nan
 1600000    -7.36       55  11.27    0.546   4.000  0.857 -0.079   3.777  1.431        0     0     n   0.58      56      1.00     1.00   +0.000     0     nan
