steric push-off: E/lipid -2.9 -> -21.3, min non-bonded r 0.028 -> 0.850
MIXTURE 2-D: 0 short (2 tails) + 80 long (4 tails) + 956 water, L=44.0, packing fraction 0.55, kT=0.45, start=ring
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0    -7.65       80  17.47      nan     nan    nan    nan   2.613  1.460     1293     1     n    nan       0      1.00     1.00   +0.000     1   0.610
    5000    -7.51       80  17.28      nan     nan    nan    nan   3.487  1.444     1503     1     n    nan       0      1.00     1.00   +0.000     1   0.528
   10000    -7.27       80  16.78      nan     nan    nan    nan   3.756  1.454     1453     1     n    nan       0      1.00     1.00   +0.000     1   0.555
   15000    -7.22       80  17.17      nan     nan    nan    nan   3.519  1.452     1457     1     n    nan       0      1.00     1.00   +0.000     1   0.552
   20000    -7.21       80  17.10      nan     nan    nan    nan   3.447  1.434     1448     1     n    nan       0      1.00     1.00   +0.000     1   0.545
   25000    -7.48       80  17.21      nan     nan    nan    nan   3.719  1.445     1446     1     n    nan       0      1.00     1.00   +0.000     1   0.551
   30000    -7.12       80  17.67      nan     nan    nan    nan   3.534  1.445     1496     1     n    nan       0      1.00     1.00   +0.000     1   0.532
   35000    -7.29       80  17.66      nan     nan    nan    nan   3.619  1.442     1520     1     n    nan       0      1.00     1.00   +0.000     1   0.529
   40000    -7.29       80  17.54      nan     nan    nan    nan   3.600  1.433     1473     1     n    nan       0      1.00     1.00   +0.000     1   0.546
   45000    -7.41       80  17.24      nan     nan    nan    nan   3.722  1.434     1433     1     n    nan       0      1.00     1.00   +0.000     1   0.559
   50000    -7.17       80  18.14      nan     nan    nan    nan   3.200  1.449     1366     1     n    nan       0      1.00     1.00   +0.000     1   0.584
   55000    -7.07       80  14.79      nan     nan    nan    nan   3.616  1.452     1379     1     n    nan       0      1.00     1.00   +0.000     1   0.578
   60000    -7.30       80  13.49      nan     nan    nan    nan   3.294  1.427     1263     1     n    nan       0      1.00     1.00   +0.000     1   0.628
   65000    -6.76       80  12.89      nan     nan    nan    nan   3.406  1.432     1257     1     n    nan       0      1.00     1.00   +0.000     1   0.629
   70000    -6.98       80  13.00      nan     nan    nan    nan   3.350  1.441     1248     1     n    nan       0      1.00     1.00   +0.000     1   0.626
   75000    -7.43       80  12.69      nan     nan    nan    nan   3.534  1.431     1194     1     n    nan       0      1.00     1.00   +0.000     1   0.664
   80000    -7.65       80  12.85      nan     nan    nan    nan   3.662  1.426     1185     1     n    nan       0      1.00     1.00   +0.000     1   0.678
   85000    -7.11       80  12.67      nan     nan    nan    nan   3.562  1.437     1193     1     n    nan       0      1.00     1.00   +0.000     1   0.670
   90000    -7.36       80  12.91      nan     nan    nan    nan   3.578  1.440     1238     1     n    nan       0      1.00     1.00   +0.000     1   0.639
   95000    -7.40       80  16.04      nan     nan    nan    nan   3.434  1.434     1305     1     n    nan       0      1.00     1.00   +0.000     1   0.605
  100000    -7.22       80  13.22      nan     nan    nan    nan   3.750  1.440     1339     1     n    nan       0      1.00     1.00   +0.000     1   0.594
  105000    -7.24       80  17.62      nan     nan    nan    nan   3.709  1.452     1342     1     n    nan       0      1.00     1.00   +0.000     1   0.585
  110000    -7.48       80  18.23      nan     nan    nan    nan   3.497  1.441     1256     1     n    nan       0      1.00     1.00   +0.000     1   0.633
  115000    -7.10       80  18.33      nan     nan    nan    nan   3.547  1.440     1325     1     n    nan       0      1.00     1.00   +0.000     1   0.604
  120000    -7.19       80  17.34      nan     nan    nan    nan   3.434  1.434     1316     1     n    nan       0      1.00     1.00   +0.000     1   0.607
  125000    -7.03       80  17.63      nan     nan    nan    nan   3.497  1.427     1285     1     n    nan       0      1.00     1.00   +0.000     1   0.616
  130000    -7.39       80  18.71      nan     nan    nan    nan   3.628  1.442     1243     1     n    nan       0      1.00     1.00   +0.000     1   0.640
  135000    -7.00       80  17.64      nan     nan    nan    nan   3.509  1.432     1242     1     n    nan       0      1.00     1.00   +0.000     1   0.615
  140000    -7.16       80  17.92      nan     nan    nan    nan   3.691  1.455     1172     1     n    nan       0      1.00     1.00   +0.000     1   0.674
  145000    -7.07       80  18.12      nan     nan    nan    nan   3.337  1.432     1201     1     n    nan       0      1.00     1.00   +0.000     1   0.663
  150000    -7.04       80  18.64      nan     nan    nan    nan   3.450  1.429     1147     1     n    nan       0      1.00     1.00   +0.000     1   0.664
  155000    -7.01       80  12.34      nan     nan    nan    nan   3.109  1.442     1036     1     n    nan       0      1.00     1.00   +0.000     1   0.747
  160000    -6.94       80  12.21      nan     nan    nan    nan   3.128  1.415      978     1     n    nan       0      1.00     1.00   +0.000     1   0.767
  165000    -7.01       80  12.15      nan     nan    nan    nan   3.106  1.405      919     1     n    nan       0      1.00     1.00   +0.000     1   0.796
  170000    -6.99       80  12.39      nan     nan    nan    nan   3.203  1.403     1009     1     n    nan       0      1.00     1.00   +0.000     1   0.757
  175000    -7.13       80  15.77      nan     nan    nan    nan   3.034  1.425     1012     1     n    nan       0      1.00     1.00   +0.000     1   0.757
  180000    -7.26       80  12.77      nan     nan    nan    nan   3.487  1.415     1071     1     n    nan       0      1.00     1.00   +0.000     1   0.723
  185000    -7.36       80  12.28      nan     nan    nan    nan   3.787  1.416     1025     1     n    nan       0      1.00     1.00   +0.000     1   0.771
  190000    -7.12       80  12.39      nan     nan    nan    nan   3.372  1.445     1033     1     n    nan       0      1.00     1.00   +0.000     1   0.738
  195000    -7.15       80  12.93      nan     nan    nan    nan   3.341  1.434     1096     1     n    nan       0      1.00     1.00   +0.000     1   0.702
  200000    -7.27       80  13.52      nan     nan    nan    nan   3.509  1.446     1117     1     n    nan       0      1.00     1.00   +0.000     1   0.698
  205000    -7.42       80  15.66      nan     nan    nan    nan   3.884  1.419     1146     1     n    nan       0      1.00     1.00   +0.000     1   0.690
  210000    -7.38       80  15.42      nan     nan    nan    nan   3.609  1.446     1125     1     n    nan       0      1.00     1.00   +0.000     1   0.688
  215000    -7.34       80  13.75      nan     nan    nan    nan   3.556  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  220000    -7.29       80  15.65      nan     nan    nan    nan   3.294  1.447     1100     1     n    nan       0      1.00     1.00   +0.000     1   0.703
  225000    -7.15       80  13.34      nan     nan    nan    nan   3.597  1.443     1061     1     n    nan       0      1.00     1.00   +0.000     1   0.738
  230000    -7.45       80  13.24      nan     nan    nan    nan   3.794  1.444     1098     1     n    nan       0      1.00     1.00   +0.000     1   0.723
  235000    -7.33       80  13.32      nan     nan    nan    nan   3.319  1.459     1176     1     n    nan       0      1.00     1.00   +0.000     1   0.671
  240000    -7.57       80  13.65      nan     nan    nan    nan   3.641  1.447     1187     1     n    nan       0      1.00     1.00   +0.000     1   0.677
  245000    -7.29       80  12.94      nan     nan    nan    nan   3.372  1.447     1114     1     n    nan       0      1.00     1.00   +0.000     1   0.702
  250000    -7.23       80  14.24      nan     nan    nan    nan   3.731  1.441     1117     1     n    nan       0      1.00     1.00   +0.000     1   0.702
  255000    -7.33       80  12.92      nan     nan    nan    nan   3.762  1.451     1150     1     n    nan       0      1.00     1.00   +0.000     1   0.688
  260000    -7.39       80  15.75      nan     nan    nan    nan   3.366  1.446     1180     1     n    nan       0      1.00     1.00   +0.000     1   0.663
  265000    -7.09       77  13.81      nan     nan    nan    nan   3.708  1.444     1185     1     n    nan       0      1.00     1.00   +0.000     1   0.627
  270000    -7.13       80  14.22      nan     nan    nan    nan   3.334  1.427     1208     1     n    nan       0      1.00     1.00   +0.000     1   0.647
  275000    -7.30       80  16.87      nan     nan    nan    nan   3.469  1.454     1259     1     n    nan       0      1.00     1.00   +0.000     1   0.634
  280000    -7.28       80  13.87      nan     nan    nan    nan   3.594  1.425     1131     1     n    nan       0      1.00     1.00   +0.000     1   0.687
  285000    -7.38       80  14.00      nan     nan    nan    nan   3.509  1.447     1065     1     n    nan       0      1.00     1.00   +0.000     1   0.738
  290000    -7.16       80  14.90      nan     nan    nan    nan   3.325  1.445     1141     1     n    nan       0      1.00     1.00   +0.000     1   0.676
  295000    -7.35       80  16.05      nan     nan    nan    nan   3.647  1.440     1191     1     n    nan       0      1.00     1.00   +0.000     1   0.653
  300000    -7.31       80  17.32      nan     nan    nan    nan   3.712  1.449     1223     1     n    nan       0      1.00     1.00   +0.000     1   0.644
