steric push-off: E/lipid -17.0 -> -20.9, min non-bonded r 0.645 -> 0.850
MIXTURE 2-D: 0 short (2 tails) + 80 long (4 tails) + 956 water, L=44.0, packing fraction 0.55, kT=0.45, start=ring
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0    -7.77       80  17.41      nan     nan    nan    nan   2.725  1.462     1291     1     n    nan       0      1.00     1.00   +0.000     1   1.092
    5000    -7.32       80  16.96      nan     nan    nan    nan   3.856  1.439     1417     1     n    nan       0      1.00     1.00   +0.000     1   1.002
   10000    -7.31       80  17.53      nan     nan    nan    nan   3.741  1.452     1489     1     n    nan       0      1.00     1.00   +0.000     1   0.964
   15000    -7.44       80  17.01      nan     nan    nan    nan   3.606  1.446     1480     1     n    nan       0      1.00     1.00   +0.000     1   0.966
   20000    -7.43       80  15.74      nan     nan    nan    nan   3.312  1.429     1589     1     n    nan       0      1.00     1.00   +0.000     1   0.914
   25000    -7.39       80  16.01      nan     nan    nan    nan   3.591  1.441     1483     1     n    nan       0      1.00     1.00   +0.000     1   0.960
   30000    -7.57       80  16.08      nan     nan    nan    nan   3.656  1.441     1450     1     n    nan       0      1.00     1.00   +0.000     1   0.981
   35000    -7.02       80  16.38      nan     nan    nan    nan   3.537  1.441     1485     1     n    nan       0      1.00     1.00   +0.000     1   0.972
   40000    -7.53       80  16.62      nan     nan    nan    nan   3.747  1.462     1422     1     n    nan       0      1.00     1.00   +0.000     1   0.998
   45000    -7.44       80  16.84      nan     nan    nan    nan   3.488  1.451     1377     1     n    nan       0      1.00     1.00   +0.000     1   1.036
   50000    -7.22       80  16.99      nan     nan    nan    nan   3.522  1.448     1385     1     n    nan       0      1.00     1.00   +0.000     1   1.031
   55000    -7.37       80  17.48      nan     nan    nan    nan   3.766  1.444     1317     1     n    nan       0      1.00     1.00   +0.000     1   1.078
   60000    -7.50       80  15.29      nan     nan    nan    nan   3.544  1.447     1268     1     n    nan       0      1.00     1.00   +0.000     1   1.117
   65000    -7.68       80  16.59      nan     nan    nan    nan   3.837  1.445     1429     1     n    nan       0      1.00     1.00   +0.000     1   1.007
   70000    -7.50       80  17.03      nan     nan    nan    nan   3.600  1.439     1403     1     n    nan       0      1.00     1.00   +0.000     1   1.021
   75000    -7.12       80  18.33      nan     nan    nan    nan   3.347  1.434     1462     1     n    nan       0      1.00     1.00   +0.000     1   0.967
   80000    -7.52       80  17.85      nan     nan    nan    nan   3.703  1.451     1456     1     n    nan       0      1.00     1.00   +0.000     1   0.984
   85000    -7.58       80  17.81      nan     nan    nan    nan   3.503  1.438     1443     1     n    nan       0      1.00     1.00   +0.000     1   0.991
   90000    -7.82       80  14.17      nan     nan    nan    nan   3.734  1.435     1361     1     n    nan       0      1.00     1.00   +0.000     1   1.045
   95000    -7.34       80  15.17      nan     nan    nan    nan   3.541  1.453     1307     1     n    nan       0      1.00     1.00   +0.000     1   1.091
  100000    -7.39       80  14.94      nan     nan    nan    nan   3.362  1.425     1240     1     n    nan       0      1.00     1.00   +0.000     1   1.134
  105000    -7.51       80  15.00      nan     nan    nan    nan   3.469  1.427     1251     1     n    nan       0      1.00     1.00   +0.000     1   1.140
  110000    -7.71       80  17.86      nan     nan    nan    nan   3.900  1.462     1248     1     n    nan       0      1.00     1.00   +0.000     1   1.130
  115000    -7.66       80  16.95      nan     nan    nan    nan   3.753  1.442     1170     1     n    nan       0      1.00     1.00   +0.000     1   1.195
  120000    -7.40       80  17.82      nan     nan    nan    nan   3.638  1.433     1146     1     n    nan       0      1.00     1.00   +0.000     1   1.239
  125000    -7.39       80  17.52      nan     nan    nan    nan   3.513  1.432     1244     1     n    nan       0      1.00     1.00   +0.000     1   1.144
  130000    -7.10       80  14.08      nan     nan    nan    nan   3.734  1.442     1114     1     n    nan       0      1.00     1.00   +0.000     1   1.234
  135000    -7.49       80  13.10      nan     nan    nan    nan   3.566  1.434     1116     1     n    nan       0      1.00     1.00   +0.000     1   1.257
  140000    -7.80       80  15.80      nan     nan    nan    nan   3.597  1.455     1184     1     n    nan       0      1.00     1.00   +0.000     1   1.192
  145000    -7.29       80  17.31      nan     nan    nan    nan   3.325  1.457     1134     1     n    nan       0      1.00     1.00   +0.000     1   1.236
  150000    -7.42       80  17.57      nan     nan    nan    nan   3.775  1.439     1086     1     n    nan       0      1.00     1.00   +0.000     1   1.299
  155000    -7.42       80  17.47      nan     nan    nan    nan   3.162  1.455     1185     1     n    nan       0      1.00     1.00   +0.000     1   1.186
  160000    -7.48       78  16.48      nan     nan    nan    nan   3.795  1.457     1209     1     n    nan       0      1.00     1.00   +0.000     1   1.171
  165000    -7.19       80  17.51      nan     nan    nan    nan   3.503  1.438     1157     1     n    nan       0      1.00     1.00   +0.000     1   1.214
  170000    -7.22       80  17.62      nan     nan    nan    nan   3.603  1.441     1187     1     n    nan       0      1.00     1.00   +0.000     1   1.167
  175000    -7.37       80  17.51      nan     nan    nan    nan   3.519  1.454     1192     1     n    nan       0      1.00     1.00   +0.000     1   1.202
  180000    -7.23       80  17.13      nan     nan    nan    nan   3.616  1.453     1205     1     n    nan       0      1.00     1.00   +0.000     1   1.169
  185000    -7.41       80  16.72      nan     nan    nan    nan   3.366  1.431     1181     1     n    nan       0      1.00     1.00   +0.000     1   1.187
  190000    -7.47       80  16.59      nan     nan    nan    nan   3.663  1.455     1251     1     n    nan       0      1.00     1.00   +0.000     1   1.134
  195000    -7.32       80  16.52      nan     nan    nan    nan   3.606  1.437     1292     1     n    nan       0      1.00     1.00   +0.000     1   1.090
  200000    -7.64       80  15.57      nan     nan    nan    nan   3.703  1.457     1238     1     n    nan       0      1.00     1.00   +0.000     1   1.146
  205000    -7.39       80  15.76      nan     nan    nan    nan   3.463  1.429     1223     1     n    nan       0      1.00     1.00   +0.000     1   1.154
  210000    -7.64       80  16.34      nan     nan    nan    nan   3.922  1.446     1246     1     n    nan       0      1.00     1.00   +0.000     1   1.124
  215000    -7.14       80  16.65      nan     nan    nan    nan   3.588  1.416     1275     1     n    nan       0      1.00     1.00   +0.000     1   1.093
  220000    -7.54       80  15.41      nan     nan    nan    nan   3.791  1.437     1256     1     n    nan       0      1.00     1.00   +0.000     1   1.119
  225000    -7.65       80  16.74      nan     nan    nan    nan   3.847  1.444     1193     1     n    nan       0      1.00     1.00   +0.000     1   1.184
  230000    -7.52       80  16.47      nan     nan    nan    nan   3.809  1.437     1257     1     n    nan       0      1.00     1.00   +0.000     1   1.110
  235000    -7.62       80  16.37      nan     nan    nan    nan   3.678  1.437     1195     1     n    nan       0      1.00     1.00   +0.000     1   1.170
  240000    -7.33       80  13.58      nan     nan    nan    nan   3.428  1.436     1114     1     n    nan       0      1.00     1.00   +0.000     1   1.233
  245000    -7.61       80  12.19      nan     nan    nan    nan   3.809  1.454     1032     1     n    nan       0      1.00     1.00   +0.000     1   1.331
  250000    -7.38       80  12.64      nan     nan    nan    nan   3.497  1.435     1088     1     n    nan       0      1.00     1.00   +0.000     1   1.268
  255000    -7.55       80  12.39      nan     nan    nan    nan   3.912  1.444     1043     1     n    nan       0      1.00     1.00   +0.000     1   1.317
  260000    -7.87       80  12.14      nan     nan    nan    nan   3.853  1.458      993     1     n    nan       0      1.00     1.00   +0.000     1   1.410
  265000    -7.75       80  12.12      nan     nan    nan    nan   3.981  1.449      957     1     n    nan       0      1.00     1.00   +0.000     1   1.402
  270000    -7.74       80  12.09      nan     nan    nan    nan   4.191  1.444      960     1     n    nan       0      1.00     1.00   +0.000     1   1.442
  275000    -7.59       80  12.52      nan     nan    nan    nan   3.794  1.454     1003     1     n    nan       0      1.00     1.00   +0.000     1   1.378
  280000    -7.71       80  12.27      nan     nan    nan    nan   3.766  1.453      962     1     n    nan       0      1.00     1.00   +0.000     1   1.410
  285000    -7.44       80  12.29      nan     nan    nan    nan   3.494  1.444      974     1     n    nan       0      1.00     1.00   +0.000     1   1.383
  290000    -7.48       80  12.39      nan     nan    nan    nan   3.628  1.438      952     1     n    nan       0      1.00     1.00   +0.000     1   1.445
  295000    -7.64       80  12.53      nan     nan    nan    nan   3.709  1.430     1016     1     n    nan       0      1.00     1.00   +0.000     1   1.371
  300000    -7.59       80  12.92      nan     nan    nan    nan   3.975  1.446     1007     1     n    nan       0      1.00     1.00   +0.000     1   1.375
