MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=state:/home/rbao/quorum-thermolife/projects/vivarium/docs/states_protected/pocket_sd45004_s0900000.npz
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0    -6.59      123  18.32      nan     nan    nan    nan   3.730  1.411      121     1     n    nan       0      1.00     1.00   +0.000     0     nan
   20000    -6.62      149  20.85      nan     nan    nan    nan   3.492  1.412       97     1     n    nan       0      1.00     1.00   +0.000     0     nan
   40000    -6.63      123  18.59      nan     nan    nan    nan   3.549  1.408      104     1     n    nan       0      1.00     1.00   +0.000     0     nan
   60000    -6.55      123  18.36      nan     nan    nan    nan   3.421  1.406       97     1     n    nan       0      1.00     1.00   +0.000     0     nan
   80000    -6.56      124  18.90      nan     nan    nan    nan   3.575  1.410      113     1     n    nan       0      1.00     1.00   +0.000     0     nan
  100000    -6.57      120  19.42      nan     nan    nan    nan   3.540  1.422       89     1     n    nan       0      1.00     1.00   +0.000     0     nan
  120000    -6.69      119  21.18      nan     nan    nan    nan   3.660  1.409      100     1     n    nan       0      1.00     1.00   +0.000     0     nan
  140000    -6.44      120  18.39      nan     nan    nan    nan   3.544  1.408      118     1     n    nan       0      1.00     1.00   +0.000     0     nan
  160000    -6.85      120  19.03      nan     nan    nan    nan   3.454  1.418      135     1     n    nan       0      1.00     1.00   +0.000     0     nan
  180000    -6.70      120  18.98      nan     nan    nan    nan   3.423  1.417      117     1     n    nan       0      1.00     1.00   +0.000     0     nan
  200000    -6.67      120  18.56      nan     nan    nan    nan   3.494  1.408      108     1     n    nan       0      1.00     1.00   +0.000     0     nan
