steric push-off: E/lipid 3.6 -> -21.6, min non-bonded r 0.072 -> 0.850
MIXTURE 2-D: 0 short (2 tails) + 80 long (4 tails) + 956 water, L=44.0, packing fraction 0.55, kT=0.45, start=ring
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
  215000    -7.10       80  14.49      nan     nan    nan    nan   3.703  1.444     1123     1     n    nan       0      1.00     1.00   +0.000     1   0.402
  220000    -6.84       80  13.23      nan     nan    nan    nan   3.172  1.426     1052     1     n    nan       0      1.00     1.00   +0.000     1   0.422
  225000    -6.76       80  13.45      nan     nan    nan    nan   3.303  1.418     1036     1     n    nan       0      1.00     1.00   +0.000     1   0.416
  230000    -7.08       80  12.97      nan     nan    nan    nan   3.575  1.415     1039     1     n    nan       0      1.00     1.00   +0.000     1   0.437
  235000    -7.18       80  13.11      nan     nan    nan    nan   3.312  1.442        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  240000    -6.84       79  12.83      nan     nan    nan    nan   3.342  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  245000    -6.96       79  12.75      nan     nan    nan    nan   3.301  1.422        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  250000    -7.08       79  12.43      nan     nan    nan    nan   3.373  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  255000    -7.07       76  12.88      nan     nan    nan    nan   3.431  1.454        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  260000    -7.01       80  13.04      nan     nan    nan    nan   3.441  1.428        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  265000    -7.07       80  14.29      nan     nan    nan    nan   3.769  1.453        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  270000    -7.21       80  13.94      nan     nan    nan    nan   3.425  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  275000    -6.95       80  13.76      nan     nan    nan    nan   3.419  1.445     1127     1     n    nan       0      1.00     1.00   +0.000     1   0.388
  280000    -7.24       80  13.15      nan     nan    nan    nan   3.562  1.435     1063     1     n    nan       0      1.00     1.00   +0.000     1   0.424
  285000    -7.35       80  13.76      nan     nan    nan    nan   3.672  1.451      973     1     n    nan       0      1.00     1.00   +0.000     1   0.440
  290000    -7.09       80  14.34      nan     nan    nan    nan   3.572  1.451     1081     1     n    nan       0      1.00     1.00   +0.000     1   0.415
  295000    -7.29       80  14.94      nan     nan    nan    nan   3.778  1.464     1155     1     n    nan       0      1.00     1.00   +0.000     1   0.399
  300000    -6.88       80  14.15      nan     nan    nan    nan   3.459  1.428     1024     1     n    nan       0      1.00     1.00   +0.000     1   0.432
