MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=random
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     5.66        5   2.59    0.401   1.684  0.938  0.637   1.450  1.293        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   20000    -5.85       22   5.98    0.400   1.563  0.818  0.172   3.011  1.406        0     0     n   0.48       3      1.00     1.00   +0.000     0     nan
   40000    -6.27       17   4.89    0.417   1.697  0.788  0.131   2.794  1.456        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   60000    -6.26       18   4.56    0.514   3.333  0.864 -0.067   3.778  1.445        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   80000    -6.41       28   7.27    0.479   2.747  0.822  0.226   4.143  1.385        0     0     n   0.12       2      1.00     1.00   +0.000     0     nan
  100000    -6.57       28   7.90    0.499   3.200  0.829 -0.004   2.902  1.420        0     0     n   0.53      13      1.00     1.00   +0.000     0     nan
  120000    -6.37       27   8.21    0.462   2.557  0.842  0.233   3.380  1.442        0     0     n   0.49      14      1.00     1.00   +0.000     0     nan
  140000    -6.73       27   6.48    0.440   1.942  0.804  0.135   3.306  1.408        0     0     n   0.40       4      1.00     1.00   +0.000     0     nan
  160000    -6.57       27   6.77    0.440   2.139  0.791  0.262   3.380  1.421        0     0     n   0.49       6      1.00     1.00   +0.000     0     nan
  180000    -6.50       27   6.71    0.386   1.394  0.793  0.369   3.306  1.398        0     0     n   0.93      11      1.00     1.00   +0.000     0     nan
  200000    -6.82       32   7.09    0.286   0.272  0.827  0.557   3.273  1.406        0     0     n   1.30      20      1.00     1.00   +0.000     0     nan
  220000    -6.62       32   7.58    0.292   0.503  0.826  0.518   3.406  1.442        0     0     n   0.87      18      1.00     1.00   +0.000     0     nan
  240000    -6.93       32   7.35    0.305   0.624  0.830  0.291   3.422  1.403        0     0     n   1.16      21      1.00     1.00   +0.000     0     nan
  260000    -6.89       42   8.68    0.340   0.605  0.844  0.333   3.423  1.442        0     0     n   1.02      36      1.00     1.00   +0.000     0     nan
  280000    -6.75       42   8.38    0.370   1.045  0.815  0.320   3.887  1.453        0     0     n   0.78      24      1.00     1.00   +0.000     0     nan
  300000    -6.71       42   8.71    0.349   0.844  0.828  0.376   3.375  1.441        0     0     n   0.93      33      1.00     1.00   +0.000     0     nan
  320000    -6.92       42   8.25    0.345   0.844  0.800  0.292   3.589  1.437        0     0     n   0.86      25      1.00     1.00   +0.000     0     nan
  340000    -6.68       42   8.75    0.334   0.796  0.839  0.429   3.857  1.441        0     0     n   0.83      30      1.00     1.00   +0.000     0     nan
  360000    -6.56       42   9.27    0.386   1.533  0.836  0.268   3.214  1.404        0     0     n   0.72      32      1.00     1.00   +0.000     0     nan
  380000    -6.69       42   9.44    0.375   1.476  0.836  0.476   3.530  1.430        0     0     n   0.65      31      1.00     1.00   +0.000     0     nan
  400000    -6.46       57  17.88      nan     nan    nan    nan   3.570  1.440        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  420000    -7.03       61  13.96      nan     nan    nan    nan   3.291  1.423        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  440000    -6.83       61  14.26      nan     nan    nan    nan   3.611  1.433        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  460000    -6.54       61  14.03      nan     nan    nan    nan   3.398  1.413        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  480000    -6.90       61  13.63      nan     nan    nan    nan   3.713  1.423        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  500000    -6.83       61  13.95      nan     nan    nan    nan   3.471  1.443        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  520000    -6.96       61  13.71      nan     nan    nan    nan   3.561  1.416        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  540000    -6.94       61  14.95      nan     nan    nan    nan   3.643  1.441        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  560000    -6.62       60  13.98      nan     nan    nan    nan   3.517  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  580000    -6.76       61  14.50      nan     nan    nan    nan   3.484  1.420        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  600000    -7.02       61  15.05      nan     nan    nan    nan   3.598  1.411        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  620000    -6.95       61  14.56      nan     nan    nan    nan   3.820  1.446        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  640000    -6.69       61  14.50      nan     nan    nan    nan   3.471  1.438        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  660000    -7.07       61  15.75      nan     nan    nan    nan   3.381  1.442        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  680000    -6.92       61  15.42      nan     nan    nan    nan   3.881  1.452        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  700000    -6.90       61  16.09      nan     nan    nan    nan   3.693  1.444        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  720000    -7.04       81  16.03      nan     nan    nan    nan   3.926  1.426        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  740000    -6.54       81  15.95      nan     nan    nan    nan   3.052  1.398        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  760000    -6.89       81  16.22      nan     nan    nan    nan   3.185  1.409        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  780000    -6.75       81  15.51      nan     nan    nan    nan   3.340  1.410        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  800000    -6.79       80  14.59      nan     nan    nan    nan   3.497  1.422        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  820000    -7.05       81  15.56      nan     nan    nan    nan   3.426  1.423        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  840000    -6.97       81  15.33      nan     nan    nan    nan   3.383  1.395        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  860000    -6.84       81  15.28      nan     nan    nan    nan   3.623  1.437        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  880000    -6.93       81  15.10      nan     nan    nan    nan   3.725  1.434        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  900000    -7.05       81  15.69      nan     nan    nan    nan   3.812  1.422        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  920000    -6.99       81  15.40      nan     nan    nan    nan   3.611  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  940000    -6.98       70  12.55      nan     nan    nan    nan   3.464  1.409        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  960000    -6.76       81  14.94      nan     nan    nan    nan   3.704  1.430        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  980000    -7.00       81  15.30      nan     nan    nan    nan   3.806  1.422        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1000000    -6.78       61  11.19      nan     nan    nan    nan   3.553  1.416        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1020000    -6.95       48   9.59    0.452   2.247  0.833 -0.022   3.510  1.434        0     0     n   0.44      22      1.00     1.00   +0.000     0     nan
 1040000    -6.84       81  15.74      nan     nan    nan    nan   3.565  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1060000    -7.01       81  16.05      nan     nan    nan    nan   3.457  1.421        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1080000    -7.03      117  17.77      nan     nan    nan    nan   3.389  1.419        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1100000    -7.14      117  18.49      nan     nan    nan    nan   3.241  1.420        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1120000    -7.04      117  18.25      nan     nan    nan    nan   3.491  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1140000    -6.87      117  18.20      nan     nan    nan    nan   3.545  1.415        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1160000    -6.92      117  17.91      nan     nan    nan    nan   3.645  1.419        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1180000    -6.90      117  17.98      nan     nan    nan    nan   3.750  1.420        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1200000    -7.19      117  17.76      nan     nan    nan    nan   3.637  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1220000    -7.11      160  23.46      nan     nan    nan    nan   3.692  1.430        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1240000    -6.66      160  23.53      nan     nan    nan    nan   3.486  1.416        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1260000    -6.95      160  23.27      nan     nan    nan    nan   3.450  1.423       46     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1280000    -6.86      160  23.19      nan     nan    nan    nan   3.442  1.418        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1300000    -6.87      160  23.27      nan     nan    nan    nan   3.486  1.425       48     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1320000    -6.80      139  23.68      nan     nan    nan    nan   3.532  1.426       48     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1340000    -7.05      160  23.45      nan     nan    nan    nan   3.548  1.413       41     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1360000    -7.06      160  23.27      nan     nan    nan    nan   3.634  1.421        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1380000    -6.97      160  22.81      nan     nan    nan    nan   3.466  1.434        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1400000    -7.38      160  23.36      nan     nan    nan    nan   3.958  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1420000    -7.17      160  23.14      nan     nan    nan    nan   3.856  1.429        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1440000    -7.15      160  23.48      nan     nan    nan    nan   3.744  1.430        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1460000    -7.05      160  23.72      nan     nan    nan    nan   3.820  1.439        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1480000    -7.04      159  23.27      nan     nan    nan    nan   3.770  1.429        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1500000    -7.20      159  23.42      nan     nan    nan    nan   3.686  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1520000    -6.93      160  24.32      nan     nan    nan    nan   3.689  1.425        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1540000    -6.93      160  23.48      nan     nan    nan    nan   3.612  1.437        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1560000    -7.10      160  23.44      nan     nan    nan    nan   3.538  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1580000    -7.08      160  23.09      nan     nan    nan    nan   3.489  1.434        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1600000    -7.21      160  23.60      nan     nan    nan    nan   3.516  1.434        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
