steric push-off: E/lipid -0.8 -> -21.3, min non-bonded r 0.090 -> 0.850
MIXTURE 2-D: 0 short (2 tails) + 80 long (4 tails) + 956 water, L=44.0, packing fraction 0.55, kT=0.45, start=ring
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0    -7.62       80  17.46      nan     nan    nan    nan   2.619  1.460     1294     1     n    nan       0      1.00     1.00   +0.000     1   0.459
    5000    -7.67       80  17.44      nan     nan    nan    nan   3.781  1.443     1341     1     n    nan       0      1.00     1.00   +0.000     1   0.436
   10000    -7.37       80  13.30      nan     nan    nan    nan   3.437  1.438     1292     1     n    nan       0      1.00     1.00   +0.000     1   0.459
   15000    -7.32       80  14.63      nan     nan    nan    nan   3.525  1.448     1304     1     n    nan       0      1.00     1.00   +0.000     1   0.456
   20000    -7.42       80  14.51      nan     nan    nan    nan   3.806  1.439     1356     1     n    nan       0      1.00     1.00   +0.000     1   0.441
   25000    -7.47       80  16.11      nan     nan    nan    nan   3.691  1.423     1341     1     n    nan       0      1.00     1.00   +0.000     1   0.445
   30000    -7.26       80  13.56      nan     nan    nan    nan   3.619  1.429     1316     1     n    nan       0      1.00     1.00   +0.000     1   0.451
   35000    -7.20       80  15.06      nan     nan    nan    nan   3.525  1.433     1281     1     n    nan       0      1.00     1.00   +0.000     1   0.458
   40000    -7.12       80  16.36      nan     nan    nan    nan   3.894  1.442     1329     1     n    nan       0      1.00     1.00   +0.000     1   0.447
   45000    -7.33       80  16.50      nan     nan    nan    nan   3.531  1.447     1373     1     n    nan       0      1.00     1.00   +0.000     1   0.438
   50000    -6.98       80  16.59      nan     nan    nan    nan   3.397  1.429     1294     1     n    nan       0      1.00     1.00   +0.000     1   0.457
   55000    -6.90       80  16.64      nan     nan    nan    nan   3.700  1.427     1388     1     n    nan       0      1.00     1.00   +0.000     1   0.430
   60000    -7.24       80  16.46      nan     nan    nan    nan   3.697  1.434     1455     1     n    nan       0      1.00     1.00   +0.000     1   0.417
   65000    -7.29       80  16.25      nan     nan    nan    nan   3.625  1.435     1439     1     n    nan       0      1.00     1.00   +0.000     1   0.414
   70000    -7.50       80  15.75      nan     nan    nan    nan   3.725  1.436     1331     1     n    nan       0      1.00     1.00   +0.000     1   0.451
   75000    -7.64       80  15.76      nan     nan    nan    nan   3.884  1.448     1325     1     n    nan       0      1.00     1.00   +0.000     1   0.452
   80000    -7.58       80  15.62      nan     nan    nan    nan   3.578  1.453     1273     1     n    nan       0      1.00     1.00   +0.000     1   0.466
   85000    -7.15       80  15.21      nan     nan    nan    nan   3.225  1.438     1135     1     n    nan       0      1.00     1.00   +0.000     1   0.522
   90000    -7.26       80  14.27      nan     nan    nan    nan   3.775  1.442     1175     1     n    nan       0      1.00     1.00   +0.000     1   0.509
   95000    -6.98       80  14.57      nan     nan    nan    nan   2.991  1.424     1112     1     n    nan       0      1.00     1.00   +0.000     1   0.528
  100000    -7.12       63  11.28      nan     nan    nan    nan   3.548  1.421        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  105000    -7.25       80  12.61      nan     nan    nan    nan   3.312  1.416     1043     1     n    nan       0      1.00     1.00   +0.000     1   0.555
  110000    -6.63       80  12.99      nan     nan    nan    nan   3.331  1.455     1167     1     n    nan       0      1.00     1.00   +0.000     1   0.491
  115000    -7.32       80  12.27      nan     nan    nan    nan   3.684  1.436     1085     1     n    nan       0      1.00     1.00   +0.000     1   0.541
  120000    -6.93       80  12.41      nan     nan    nan    nan   3.316  1.440     1068     1     n    nan       0      1.00     1.00   +0.000     1   0.554
  125000    -7.34       80  12.67      nan     nan    nan    nan   3.412  1.448     1051     1     n    nan       0      1.00     1.00   +0.000     1   0.540
  130000    -6.92       80  13.43      nan     nan    nan    nan   3.197  1.433     1058     1     n    nan       0      1.00     1.00   +0.000     1   0.541
  135000    -7.40       80  14.47      nan     nan    nan    nan   3.538  1.434     1007     1     n    nan       0      1.00     1.00   +0.000     1   0.587
  140000    -6.92       80  12.83      nan     nan    nan    nan   3.322  1.451      997     1     n    nan       0      1.00     1.00   +0.000     1   0.586
  145000    -7.11       80  12.43      nan     nan    nan    nan   3.212  1.438      964     1     n    nan       0      1.00     1.00   +0.000     1   0.609
  150000    -7.29       80  13.71      nan     nan    nan    nan   3.528  1.439     1028     1     n    nan       0      1.00     1.00   +0.000     1   0.554
  155000    -7.22       80  13.43      nan     nan    nan    nan   3.228  1.451      997     1     n    nan       0      1.00     1.00   +0.000     1   0.582
  160000    -7.66       80  15.72      nan     nan    nan    nan   3.588  1.436     1018     1     n    nan       0      1.00     1.00   +0.000     1   0.574
  165000    -7.35       80  13.10      nan     nan    nan    nan   3.522  1.455      947     1     n    nan       0      1.00     1.00   +0.000     1   0.608
