steric push-off: E/lipid 8.7 -> -21.6, min non-bonded r 0.023 -> 0.850
MIXTURE 2-D: 0 short (2 tails) + 80 long (4 tails) + 956 water, L=44.0, packing fraction 0.55, kT=0.45, start=ring
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0    -7.78       80  17.47      nan     nan    nan    nan   2.600  1.460     1291     1     n    nan       0      1.00     1.00   +0.000     1   0.354
    5000    -7.40       80  17.25      nan     nan    nan    nan   3.722  1.439     1309     1     n    nan       0      1.00     1.00   +0.000     1   0.358
   10000    -7.63       80  16.24      nan     nan    nan    nan   3.634  1.452     1361     1     n    nan       0      1.00     1.00   +0.000     1   0.339
   15000    -7.19       80  16.54      nan     nan    nan    nan   3.459  1.447     1327     1     n    nan       0      1.00     1.00   +0.000     1   0.342
   20000    -7.40       80  16.80      nan     nan    nan    nan   3.659  1.448     1246     1     n    nan       0      1.00     1.00   +0.000     1   0.375
   25000    -7.20       80  16.24      nan     nan    nan    nan   3.616  1.438     1331     1     n    nan       0      1.00     1.00   +0.000     1   0.351
   30000    -7.32       80  16.76      nan     nan    nan    nan   3.556  1.421     1395     1     n    nan       0      1.00     1.00   +0.000     1   0.333
   35000    -7.38       80  17.28      nan     nan    nan    nan   3.737  1.436     1381     1     n    nan       0      1.00     1.00   +0.000     1   0.343
   40000    -6.95       80  14.90      nan     nan    nan    nan   3.303  1.435     1226     1     n    nan       0      1.00     1.00   +0.000     1   0.374
   45000    -7.10       80  14.97      nan     nan    nan    nan   3.241  1.437     1133     1     n    nan       0      1.00     1.00   +0.000     1   0.406
   50000    -7.35       80  15.23      nan     nan    nan    nan   3.659  1.436     1153     1     n    nan       0      1.00     1.00   +0.000     1   0.400
   55000    -7.25       80  14.47      nan     nan    nan    nan   3.525  1.420     1113     1     n    nan       0      1.00     1.00   +0.000     1   0.410
   60000    -7.10       80  15.32      nan     nan    nan    nan   3.306  1.434     1045     1     n    nan       0      1.00     1.00   +0.000     1   0.430
   65000    -6.85       80  15.52      nan     nan    nan    nan   3.097  1.431     1019     1     n    nan       0      1.00     1.00   +0.000     1   0.448
   70000    -6.92       80  16.04      nan     nan    nan    nan   3.206  1.425     1087     1     n    nan       0      1.00     1.00   +0.000     1   0.420
   75000    -7.00       80  15.85      nan     nan    nan    nan   3.747  1.439     1001     1     n    nan       0      1.00     1.00   +0.000     1   0.459
   80000    -7.42       80  16.21      nan     nan    nan    nan   3.372  1.441        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
   85000    -7.12       80  15.33      nan     nan    nan    nan   3.266  1.444     1017     1     n    nan       0      1.00     1.00   +0.000     1   0.452
   90000    -6.82       80  15.38      nan     nan    nan    nan   3.238  1.429     1047     1     n    nan       0      1.00     1.00   +0.000     1   0.419
