steric push-off: E/lipid -5.4 -> -21.3, min non-bonded r 0.072 -> 0.850
MIXTURE 2-D: 0 short (2 tails) + 80 long (4 tails) + 956 water, L=44.0, packing fraction 0.55, kT=0.45, start=ring
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0    -7.77       80  17.46      nan     nan    nan    nan   2.656  1.461     1289     1     n    nan       0      1.00     1.00   +0.000     1   0.651
    5000    -7.41       80  17.80      nan     nan    nan    nan   3.684  1.446     1388     1     n    nan       0      1.00     1.00   +0.000     1   0.601
   10000    -7.16       80  17.33      nan     nan    nan    nan   3.716  1.431     1533     1     n    nan       0      1.00     1.00   +0.000     1   0.560
   15000    -7.40       80  17.84      nan     nan    nan    nan   3.650  1.427     1489     1     n    nan       0      1.00     1.00   +0.000     1   0.566
   20000    -7.00       80  16.70      nan     nan    nan    nan   3.662  1.444     1377     1     n    nan       0      1.00     1.00   +0.000     1   0.614
   25000    -7.26       80  16.78      nan     nan    nan    nan   3.691  1.435     1374     1     n    nan       0      1.00     1.00   +0.000     1   0.609
   30000    -7.16       80  14.09      nan     nan    nan    nan   3.606  1.436     1213     1     n    nan       0      1.00     1.00   +0.000     1   0.694
   35000    -7.14       80  14.63      nan     nan    nan    nan   3.591  1.418     1230     1     n    nan       0      1.00     1.00   +0.000     1   0.677
   40000    -7.45       80  14.90      nan     nan    nan    nan   3.656  1.442     1267     1     n    nan       0      1.00     1.00   +0.000     1   0.665
   45000    -6.93       80  16.07      nan     nan    nan    nan   3.553  1.433     1267     1     n    nan       0      1.00     1.00   +0.000     1   0.654
   50000    -7.25       80  15.81      nan     nan    nan    nan   3.584  1.449     1258     1     n    nan       0      1.00     1.00   +0.000     1   0.655
   55000    -7.13       80  15.89      nan     nan    nan    nan   3.575  1.439     1281     1     n    nan       0      1.00     1.00   +0.000     1   0.643
   60000    -7.37       80  16.74      nan     nan    nan    nan   3.547  1.450     1351     1     n    nan       0      1.00     1.00   +0.000     1   0.628
   65000    -7.20       80  15.57      nan     nan    nan    nan   3.637  1.426        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
   70000    -6.90       80  15.37      nan     nan    nan    nan   3.428  1.449        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
   75000    -7.22       80  15.64      nan     nan    nan    nan   3.634  1.451        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
   80000    -6.89       80  15.45      nan     nan    nan    nan   3.266  1.426        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
   85000    -7.14       80  15.70      nan     nan    nan    nan   3.247  1.447        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
