steric push-off: E/lipid -17.1 -> -21.1, min non-bonded r 0.655 -> 0.850
MIXTURE 2-D: 0 short (2 tails) + 80 long (4 tails) + 956 water, L=44.0, packing fraction 0.55, kT=0.45, start=ring
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0    -7.80       80  17.47      nan     nan    nan    nan   2.631  1.462     1296     1     n    nan       0      1.00     1.00   +0.000     1   1.167
    5000    -7.30       80  17.33      nan     nan    nan    nan   3.744  1.452     1365     1     n    nan       0      1.00     1.00   +0.000     1   1.100
   10000    -7.40       80  18.09      nan     nan    nan    nan   3.778  1.440     1425     1     n    nan       0      1.00     1.00   +0.000     1   1.069
   15000    -7.37       80  17.33      nan     nan    nan    nan   3.634  1.445     1493     1     n    nan       0      1.00     1.00   +0.000     1   1.022
   20000    -7.61       80  17.58      nan     nan    nan    nan   3.575  1.443     1552     1     n    nan       0      1.00     1.00   +0.000     1   0.990
   25000    -7.27       80  17.79      nan     nan    nan    nan   3.594  1.435     1618     1     n    nan       0      1.00     1.00   +0.000     1   0.958
   30000    -7.37       80  18.04      nan     nan    nan    nan   3.922  1.444     1656     1     n    nan       0      1.00     1.00   +0.000     1   0.931
   35000    -7.24       80  17.49      nan     nan    nan    nan   3.553  1.466     1586     1     n    nan       0      1.00     1.00   +0.000     1   0.963
   40000    -7.31       80  18.28      nan     nan    nan    nan   3.569  1.434     1535     1     n    nan       0      1.00     1.00   +0.000     1   0.992
   45000    -7.44       80  16.66      nan     nan    nan    nan   3.728  1.422     1477     1     n    nan       0      1.00     1.00   +0.000     1   1.038
   50000    -7.41       80  16.84      nan     nan    nan    nan   3.675  1.445     1391     1     n    nan       0      1.00     1.00   +0.000     1   1.088
   55000    -7.25       80  16.03      nan     nan    nan    nan   3.547  1.445     1390     1     n    nan       0      1.00     1.00   +0.000     1   1.097
   60000    -6.90       80  17.07      nan     nan    nan    nan   3.197  1.438        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
   65000    -7.20       80  17.06      nan     nan    nan    nan   3.287  1.425     1397     1     n    nan       0      1.00     1.00   +0.000     1   1.077
   70000    -7.42       80  17.70      nan     nan    nan    nan   3.747  1.437     1387     1     n    nan       0      1.00     1.00   +0.000     1   1.095
   75000    -7.49       80  17.42      nan     nan    nan    nan   3.741  1.447     1325     1     n    nan       0      1.00     1.00   +0.000     1   1.144
   80000    -6.98       80  16.70      nan     nan    nan    nan   3.478  1.439     1355     1     n    nan       0      1.00     1.00   +0.000     1   1.098
   85000    -7.31       80  16.38      nan     nan    nan    nan   3.587  1.447     1330     1     n    nan       0      1.00     1.00   +0.000     1   1.109
   90000    -7.34       80  16.67      nan     nan    nan    nan   3.572  1.446     1309     1     n    nan       0      1.00     1.00   +0.000     1   1.157
   95000    -7.48       80  17.34      nan     nan    nan    nan   3.344  1.433     1353     1     n    nan       0      1.00     1.00   +0.000     1   1.104
  100000    -7.58       80  17.57      nan     nan    nan    nan   3.753  1.445     1313     1     n    nan       0      1.00     1.00   +0.000     1   1.169
  105000    -7.60       80  18.29      nan     nan    nan    nan   3.759  1.446     1239     1     n    nan       0      1.00     1.00   +0.000     1   1.204
  110000    -7.20       80  17.34      nan     nan    nan    nan   3.678  1.430     1317     1     n    nan       0      1.00     1.00   +0.000     1   1.161
  115000    -7.38       80  18.00      nan     nan    nan    nan   3.844  1.454     1282     1     n    nan       0      1.00     1.00   +0.000     1   1.172
  120000    -7.35       80  18.56      nan     nan    nan    nan   3.587  1.448     1175     1     n    nan       0      1.00     1.00   +0.000     1   1.252
  125000    -7.08       80  17.86      nan     nan    nan    nan   3.566  1.451     1241     1     n    nan       0      1.00     1.00   +0.000     1   1.201
  130000    -7.64       80  17.64      nan     nan    nan    nan   3.675  1.444     1186     1     n    nan       0      1.00     1.00   +0.000     1   1.261
  135000    -7.90       80  17.93      nan     nan    nan    nan   3.631  1.449     1145     1     n    nan       0      1.00     1.00   +0.000     1   1.324
  140000    -7.51       80  18.02      nan     nan    nan    nan   3.591  1.440     1014     1     n    nan       0      1.00     1.00   +0.000     1   1.448
  145000    -7.53       80  17.90      nan     nan    nan    nan   3.581  1.434      984     1     n    nan       0      1.00     1.00   +0.000     1   1.476
  150000    -7.71       80  16.51      nan     nan    nan    nan   3.437  1.442     1037     1     n    nan       0      1.00     1.00   +0.000     1   1.427
  155000    -7.65       80  17.44      nan     nan    nan    nan   3.741  1.436     1013     1     n    nan       0      1.00     1.00   +0.000     1   1.473
  160000    -7.55       80  17.75      nan     nan    nan    nan   3.719  1.431     1102     1     n    nan       0      1.00     1.00   +0.000     1   1.360
  165000    -7.80       80  17.39      nan     nan    nan    nan   3.969  1.441     1109     1     n    nan       0      1.00     1.00   +0.000     1   1.360
  170000    -7.51       80  17.47      nan     nan    nan    nan   3.694  1.441     1165     1     n    nan       0      1.00     1.00   +0.000     1   1.280
  175000    -7.34       80  17.00      nan     nan    nan    nan   3.613  1.443     1156     1     n    nan       0      1.00     1.00   +0.000     1   1.272
  180000    -7.48       80  17.44      nan     nan    nan    nan   3.716  1.445     1131     1     n    nan       0      1.00     1.00   +0.000     1   1.320
  185000    -7.66       80  17.37      nan     nan    nan    nan   3.681  1.456     1029     1     n    nan       0      1.00     1.00   +0.000     1   1.431
  190000    -7.40       80  17.62      nan     nan    nan    nan   3.862  1.434     1135     1     n    nan       0      1.00     1.00   +0.000     1   1.309
  195000    -7.36       80  15.05      nan     nan    nan    nan   3.566  1.431     1087     1     n    nan       0      1.00     1.00   +0.000     1   1.390
  200000    -7.44       80  17.82      nan     nan    nan    nan   3.503  1.447     1100     1     n    nan       0      1.00     1.00   +0.000     1   1.350
  205000    -7.49       80  15.67      nan     nan    nan    nan   3.744  1.445     1074     1     n    nan       0      1.00     1.00   +0.000     1   1.391
  210000    -7.24       80  17.05      nan     nan    nan    nan   3.534  1.437     1073     1     n    nan       0      1.00     1.00   +0.000     1   1.374
  215000    -7.60       80  13.56      nan     nan    nan    nan   3.594  1.439     1158     1     n    nan       0      1.00     1.00   +0.000     1   1.323
  220000    -7.42       80  15.67      nan     nan    nan    nan   3.428  1.451     1176     1     n    nan       0      1.00     1.00   +0.000     1   1.287
  225000    -7.36       80  12.42      nan     nan    nan    nan   3.609  1.453     1069     1     n    nan       0      1.00     1.00   +0.000     1   1.403
  230000    -7.61       80  12.83      nan     nan    nan    nan   3.809  1.441     1151     1     n    nan       0      1.00     1.00   +0.000     1   1.312
  235000    -7.40       80  12.76      nan     nan    nan    nan   3.566  1.458     1120     1     n    nan       0      1.00     1.00   +0.000     1   1.344
  240000    -7.00       80  12.70      nan     nan    nan    nan   3.488  1.425     1226     1     n    nan       0      1.00     1.00   +0.000     1   1.211
  245000    -7.29       80  12.56      nan     nan    nan    nan   3.619  1.445     1190     1     n    nan       0      1.00     1.00   +0.000     1   1.249
  250000    -7.18       80  12.20      nan     nan    nan    nan   3.438  1.436     1075     1     n    nan       0      1.00     1.00   +0.000     1   1.369
  255000    -7.86       80  12.43      nan     nan    nan    nan   3.856  1.447     1090     1     n    nan       0      1.00     1.00   +0.000     1   1.379
  260000    -7.49       80  12.44      nan     nan    nan    nan   3.441  1.455     1101     1     n    nan       0      1.00     1.00   +0.000     1   1.348
  265000    -7.40       80  12.62      nan     nan    nan    nan   3.662  1.449     1112     1     n    nan       0      1.00     1.00   +0.000     1   1.323
  270000    -7.37       80  12.40      nan     nan    nan    nan   3.728  1.440     1120     1     n    nan       0      1.00     1.00   +0.000     1   1.323
  275000    -7.61       80  12.64      nan     nan    nan    nan   3.647  1.447     1116     1     n    nan       0      1.00     1.00   +0.000     1   1.337
  280000    -7.54       80  12.73      nan     nan    nan    nan   3.622  1.433     1127     1     n    nan       0      1.00     1.00   +0.000     1   1.311
  285000    -7.05       80  12.75      nan     nan    nan    nan   3.194  1.432        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  290000    -6.88       80  12.83      nan     nan    nan    nan   3.337  1.434     1186     1     n    nan       0      1.00     1.00   +0.000     1   1.240
  295000    -7.26       80  12.86      nan     nan    nan    nan   3.356  1.437     1101     1     n    nan       0      1.00     1.00   +0.000     1   1.335
  300000    -7.46       80  12.34      nan     nan    nan    nan   3.534  1.437     1046     1     n    nan       0      1.00     1.00   +0.000     1   1.410
