MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=random
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     7.75        7   3.10    0.475   2.560  0.880  0.306   0.786  1.434        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   20000    -5.84       26   5.99    0.413   1.840  0.859  0.386   3.288  1.419        0     0     n   1.10       7      1.00     1.00   +0.000     0     nan
   40000    -5.85       43  11.89      nan     nan    nan    nan   3.465  1.400        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
   60000    -5.98       51  10.42      nan     nan    nan    nan   3.343  1.413        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
   80000    -6.30       64  10.43      nan     nan    nan    nan   3.777  1.416        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  100000    -6.26       65  10.37      nan     nan    nan    nan   3.981  1.434        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  120000    -6.38       65  10.33      nan     nan    nan    nan   3.762  1.417        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  140000    -6.36       65  10.25      nan     nan    nan    nan   3.738  1.417        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  160000    -6.45       65   9.59      nan     nan    nan    nan   3.981  1.433        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  180000    -6.49       65   9.71      nan     nan    nan    nan   4.023  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  200000    -6.24       65  10.97      nan     nan    nan    nan   3.569  1.438        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  220000    -6.45       81  14.44      nan     nan    nan    nan   3.448  1.433        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  240000    -6.52       66  10.55      nan     nan    nan    nan   3.701  1.445        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  260000    -6.72      103  22.65      nan     nan    nan    nan   3.701  1.423        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  280000    -6.44      108  23.20      nan     nan    nan    nan   3.671  1.397        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
