steric push-off: E/lipid 1.5 -> -21.7, min non-bonded r 0.023 -> 0.850
MIXTURE 2-D: 0 short (2 tails) + 80 long (4 tails) + 956 water, L=44.0, packing fraction 0.55, kT=0.45, start=ring
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0    -7.86       80  17.47      nan     nan    nan    nan   2.631  1.461     1296     1     n    nan       0      1.00     1.00   +0.000     1   0.486
    5000    -7.21       80  16.90      nan     nan    nan    nan   3.663  1.432     1391     1     n    nan       0      1.00     1.00   +0.000     1   0.449
   10000    -7.39       80  17.71      nan     nan    nan    nan   3.922  1.425     1345     1     n    nan       0      1.00     1.00   +0.000     1   0.466
   15000    -7.33       80  17.56      nan     nan    nan    nan   3.300  1.452     1436     1     n    nan       0      1.00     1.00   +0.000     1   0.437
   20000    -7.58       80  17.47      nan     nan    nan    nan   3.688  1.441     1444     1     n    nan       0      1.00     1.00   +0.000     1   0.438
   25000    -6.98       80  17.38      nan     nan    nan    nan   3.487  1.436     1524     1     n    nan       0      1.00     1.00   +0.000     1   0.424
   30000    -7.26       80  17.91      nan     nan    nan    nan   3.647  1.453     1551     1     n    nan       0      1.00     1.00   +0.000     1   0.408
   35000    -7.60       80  17.05      nan     nan    nan    nan   3.812  1.456        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
   40000    -7.26       80  17.29      nan     nan    nan    nan   3.372  1.431     1500     1     n    nan       0      1.00     1.00   +0.000     1   0.415
   45000    -7.13       80  16.89      nan     nan    nan    nan   3.406  1.423     1503     1     n    nan       0      1.00     1.00   +0.000     1   0.420
   50000    -7.30       80  17.84      nan     nan    nan    nan   3.659  1.444     1428     1     n    nan       0      1.00     1.00   +0.000     1   0.430
   55000    -7.03       80  16.43      nan     nan    nan    nan   3.203  1.425     1446     1     n    nan       0      1.00     1.00   +0.000     1   0.429
   60000    -7.10       80  17.37      nan     nan    nan    nan   3.394  1.421     1355     1     n    nan       0      1.00     1.00   +0.000     1   0.466
   65000    -7.00       80  17.09      nan     nan    nan    nan   3.450  1.448     1418     1     n    nan       0      1.00     1.00   +0.000     1   0.422
   70000    -7.47       80  17.46      nan     nan    nan    nan   3.862  1.427     1420     1     n    nan       0      1.00     1.00   +0.000     1   0.429
   75000    -7.31       80  17.65      nan     nan    nan    nan   3.359  1.434     1210     1     n    nan       0      1.00     1.00   +0.000     1   0.500
   80000    -7.15       80  16.65      nan     nan    nan    nan   3.291  1.427     1295     1     n    nan       0      1.00     1.00   +0.000     1   0.469
   85000    -6.95       80  16.40      nan     nan    nan    nan   3.463  1.447     1378     1     n    nan       0      1.00     1.00   +0.000     1   0.451
   90000    -7.27       80  16.78      nan     nan    nan    nan   3.503  1.431     1454     1     n    nan       0      1.00     1.00   +0.000     1   0.430
   95000    -6.97       80  17.06      nan     nan    nan    nan   3.262  1.438     1374     1     n    nan       0      1.00     1.00   +0.000     1   0.450
  100000    -7.30       80  16.91      nan     nan    nan    nan   3.400  1.443     1386     1     n    nan       0      1.00     1.00   +0.000     1   0.446
  105000    -6.95       80  16.48      nan     nan    nan    nan   3.428  1.453     1326     1     n    nan       0      1.00     1.00   +0.000     1   0.467
  110000    -7.22       80  17.27      nan     nan    nan    nan   3.594  1.429     1425     1     n    nan       0      1.00     1.00   +0.000     1   0.435
  115000    -7.42       80  17.29      nan     nan    nan    nan   3.744  1.442     1375     1     n    nan       0      1.00     1.00   +0.000     1   0.455
  120000    -7.33       80  14.87      nan     nan    nan    nan   3.825  1.432     1295     1     n    nan       0      1.00     1.00   +0.000     1   0.487
  125000    -6.97       80  17.60      nan     nan    nan    nan   3.056  1.437     1313     1     n    nan       0      1.00     1.00   +0.000     1   0.460
