steric push-off: E/lipid -0.4 -> -21.1, min non-bonded r 0.068 -> 0.850
MIXTURE 2-D: 0 short (2 tails) + 80 long (4 tails) + 956 water, L=44.0, packing fraction 0.55, kT=0.45, start=ring
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0    -7.54       80  17.47      nan     nan    nan    nan   2.638  1.458     1293     1     n    nan       0      1.00     1.00   +0.000     1   0.456
    5000    -7.29       80  14.80      nan     nan    nan    nan   3.466  1.453     1472     1     n    nan       0      1.00     1.00   +0.000     1   0.402
   10000    -7.25       80  15.65      nan     nan    nan    nan   3.534  1.431     1374     1     n    nan       0      1.00     1.00   +0.000     1   0.435
   15000    -7.49       80  13.32      nan     nan    nan    nan   3.550  1.435     1383     1     n    nan       0      1.00     1.00   +0.000     1   0.433
   20000    -7.36       80  13.68      nan     nan    nan    nan   3.519  1.417     1338     1     n    nan       0      1.00     1.00   +0.000     1   0.450
   25000    -7.38       80  13.84      nan     nan    nan    nan   3.866  1.434     1292     1     n    nan       0      1.00     1.00   +0.000     1   0.457
   30000    -7.07       80  14.63      nan     nan    nan    nan   3.584  1.438     1295     1     n    nan       0      1.00     1.00   +0.000     1   0.466
   35000    -6.95       80  15.46      nan     nan    nan    nan   3.347  1.445     1286     1     n    nan       0      1.00     1.00   +0.000     1   0.460
   40000    -7.04       80  14.98      nan     nan    nan    nan   3.384  1.419     1244     1     n    nan       0      1.00     1.00   +0.000     1   0.470
   45000    -6.93       80  13.40      nan     nan    nan    nan   3.131  1.423     1181     1     n    nan       0      1.00     1.00   +0.000     1   0.507
   50000    -7.20       80  13.21      nan     nan    nan    nan   3.319  1.428     1231     1     n    nan       0      1.00     1.00   +0.000     1   0.481
   55000    -7.06       80  14.92      nan     nan    nan    nan   3.616  1.434     1310     1     n    nan       0      1.00     1.00   +0.000     1   0.449
   60000    -7.28       80  14.56      nan     nan    nan    nan   3.581  1.438     1291     1     n    nan       0      1.00     1.00   +0.000     1   0.463
   65000    -7.26       79  13.52      nan     nan    nan    nan   3.848  1.438     1272     1     n    nan       0      1.00     1.00   +0.000     1   0.471
   70000    -6.97       80  12.99      nan     nan    nan    nan   3.238  1.434     1238     1     n    nan       0      1.00     1.00   +0.000     1   0.479
   75000    -7.34       80  12.84      nan     nan    nan    nan   3.537  1.459     1130     1     n    nan       0      1.00     1.00   +0.000     1   0.526
   80000    -7.39       80  12.67      nan     nan    nan    nan   3.456  1.451     1108     1     n    nan       0      1.00     1.00   +0.000     1   0.523
   85000    -7.30       80  12.81      nan     nan    nan    nan   3.512  1.455     1121     1     n    nan       0      1.00     1.00   +0.000     1   0.521
   90000    -7.29       80  13.03      nan     nan    nan    nan   3.778  1.447     1150     1     n    nan       0      1.00     1.00   +0.000     1   0.507
   95000    -7.56       80  13.35      nan     nan    nan    nan   3.641  1.451     1145     1     n    nan       0      1.00     1.00   +0.000     1   0.505
  100000    -7.08       80  13.02      nan     nan    nan    nan   3.425  1.433     1186     1     n    nan       0      1.00     1.00   +0.000     1   0.509
  105000    -6.95       80  14.59      nan     nan    nan    nan   3.491  1.435     1201     1     n    nan       0      1.00     1.00   +0.000     1   0.502
  110000    -7.40       80  14.04      nan     nan    nan    nan   3.688  1.431     1054     1     n    nan       0      1.00     1.00   +0.000     1   0.550
  115000    -7.29       80  17.30      nan     nan    nan    nan   3.750  1.440     1138     1     n    nan       0      1.00     1.00   +0.000     1   0.516
  120000    -7.42       80  17.27      nan     nan    nan    nan   3.713  1.443     1047     1     n    nan       0      1.00     1.00   +0.000     1   0.555
  125000    -7.41       80  15.35      nan     nan    nan    nan   3.797  1.448     1048     1     n    nan       0      1.00     1.00   +0.000     1   0.558
  130000    -7.57       80  14.86      nan     nan    nan    nan   3.644  1.445     1050     1     n    nan       0      1.00     1.00   +0.000     1   0.557
  135000    -7.37       80  15.85      nan     nan    nan    nan   3.516  1.448     1082     1     n    nan       0      1.00     1.00   +0.000     1   0.529
  140000    -7.37       80  12.84      nan     nan    nan    nan   3.450  1.421     1030     1     n    nan       0      1.00     1.00   +0.000     1   0.571
  145000    -7.32       80  12.11      nan     nan    nan    nan   3.572  1.440     1012     1     n    nan       0      1.00     1.00   +0.000     1   0.569
  150000    -7.44       80  13.00      nan     nan    nan    nan   3.759  1.440     1108     1     n    nan       0      1.00     1.00   +0.000     1   0.540
  155000    -7.21       80  12.45      nan     nan    nan    nan   3.456  1.451     1028     1     n    nan       0      1.00     1.00   +0.000     1   0.559
  160000    -7.12       80  12.15      nan     nan    nan    nan   3.000  1.437      971     1     n    nan       0      1.00     1.00   +0.000     1   0.607
  165000    -7.18       80  11.62      nan     nan    nan    nan   3.456  1.452      859     1     n    nan       0      1.00     1.00   +0.000     1   0.665
  170000    -6.93       80  12.22      nan     nan    nan    nan   3.312  1.442      925     1     n    nan       0      1.00     1.00   +0.000     1   0.603
  175000    -7.21       80  11.84      nan     nan    nan    nan   2.981  1.437      875     1     n    nan       0      1.00     1.00   +0.000     1   0.634
  180000    -7.15       80  11.80      nan     nan    nan    nan   3.513  1.442      880     1     n    nan       0      1.00     1.00   +0.000     1   0.640
  185000    -7.16       80  11.69      nan     nan    nan    nan   3.566  1.423      846     1     n    nan       0      1.00     1.00   +0.000     1   0.670
  190000    -7.06       80  11.57      nan     nan    nan    nan   3.547  1.438      845     1     n    nan       0      1.00     1.00   +0.000     1   0.661
  195000    -7.11       80  11.80      nan     nan    nan    nan   3.438  1.424      909     1     n    nan       0      1.00     1.00   +0.000     1   0.624
  200000    -7.34       80  11.74      nan     nan    nan    nan   3.391  1.446      884     1     n    nan       0      1.00     1.00   +0.000     1   0.634
  205000    -7.08       80  11.97      nan     nan    nan    nan   3.369  1.433      937     1     n    nan       0      1.00     1.00   +0.000     1   0.616
  210000    -6.53       79  11.72      nan     nan    nan    nan   3.130  1.426      840     1     n    nan       0      1.00     1.00   +0.000     1   0.679
