MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=random
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
  880000    -6.73       93  13.41      nan     nan    nan    nan   3.360  1.417        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  900000    -6.74       93  13.75      nan     nan    nan    nan   3.406  1.425        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  920000    -6.73       90  13.29      nan     nan    nan    nan   3.544  1.431        0     0     n    nan       0      1.00     1.00   +0.000     1   0.952
  940000    -6.68       90  13.63      nan     nan    nan    nan   3.528  1.436        0     0     n    nan       0      1.00     1.00   +0.000     1   1.032
  960000    -6.91       93  13.64      nan     nan    nan    nan   3.449  1.441        0     0     n    nan       0      1.00     1.00   +0.000     1   0.947
  980000    -6.74       93  13.78      nan     nan    nan    nan   3.613  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1000000    -6.84       93  13.69      nan     nan    nan    nan   3.664  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1020000    -6.79       93  13.01      nan     nan    nan    nan   3.148  1.408        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1040000    -6.76       93  12.96      nan     nan    nan    nan   3.554  1.440        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1060000    -6.76       93  12.75      nan     nan    nan    nan   3.758  1.416        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1080000    -7.18       93  12.78      nan     nan    nan    nan   3.543  1.434        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1100000    -6.75       93  12.89      nan     nan    nan    nan   3.336  1.433        0     0     n    nan       0      1.00     1.00   +0.000     1   1.327
 1120000    -6.90       93  13.44      nan     nan    nan    nan   3.460  1.428        0     0     n    nan       0      1.00     1.00   +0.000     1   0.727
 1140000    -6.84       93  13.40      nan     nan    nan    nan   3.774  1.432        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1160000    -6.96       93  13.98      nan     nan    nan    nan   3.503  1.440        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1180000    -7.07       93  14.14      nan     nan    nan    nan   3.427  1.439        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1200000    -7.05       93  13.74      nan     nan    nan    nan   3.535  1.426        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1220000    -6.95       93  14.01      nan     nan    nan    nan   3.468  1.428        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1240000    -6.87       93  14.15      nan     nan    nan    nan   3.540  1.437        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1260000    -6.96       93  13.67      nan     nan    nan    nan   3.570  1.446        0     0     n    nan       0      1.00     1.00   +0.000     1   1.404
 1280000    -6.96       93  13.82      nan     nan    nan    nan   3.454  1.438        0     0     n    nan       0      1.00     1.00   +0.000     1   1.204
 1300000    -6.92       84  12.43      nan     nan    nan    nan   3.557  1.438        0     0     n    nan       0      1.00     1.00   +0.000     1   1.229
 1320000    -6.84       93  14.16      nan     nan    nan    nan   3.422  1.420        0     0     n    nan       0      1.00     1.00   +0.000     1   1.180
 1340000    -7.05       93  13.72      nan     nan    nan    nan   3.728  1.442        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
