MIXTURE 2-D: 0 short (2 tails) + 208 long (4 tails) + 4887 water, L=92.0, packing fraction 0.55, kT=0.45, start=random
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     2.59        4   2.27    0.499   3.692  0.962  0.173   3.500  1.450        0     0     n   0.00       0      1.00      nan   +nan     0     nan
   20000    -5.83       10   2.81    0.475   2.162  0.906  0.382   3.500  1.373        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   40000    -6.10       11   3.67    0.452   2.400  0.893 -0.088   4.136  1.454        0     0     n   0.00       0      1.00      nan   +nan     0     nan
   60000    -6.26       11   3.54    0.452   2.400  0.865 -0.243   3.477  1.443        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   80000    -6.25       12   3.87    0.434   1.913  0.844  0.126   3.688  1.472        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  100000    -6.42       20   6.07    0.497   2.857  0.890 -0.125   3.075  1.457        0     0     n   0.51       4      1.00     1.00   +0.000     0     nan
  120000    -6.27       20   5.73    0.510   3.343  0.788 -0.030   4.213  1.464        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  140000    -6.63       20   5.90    0.494   3.343  0.915 -0.171   3.200  1.407        0     0     n   0.15       1      1.00     1.00   +0.000     0     nan
  160000    -6.77       20   5.98    0.491   2.857  0.781  0.023   4.063  1.465        0     0     n   0.28       2      1.00     1.00   +0.000     0     nan
  180000    -6.66       20   6.24    0.527   3.515  0.873 -0.188   3.775  1.482        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  200000    -6.81       20   5.05    0.478   2.556  0.823 -0.059   3.362  1.438        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  220000    -6.89       20   4.94    0.456   2.411  0.844 -0.042   3.450  1.415        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  240000    -6.72       28   6.14    0.461   2.431  0.818 -0.034   3.741  1.434        0     0     n   0.36       3      1.00     1.00   +0.000     0     nan
  260000    -6.84       28   5.69    0.487   2.857  0.818 -0.088   3.509  1.440        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  280000    -6.76       28   6.03    0.520   3.565  0.833 -0.193   3.670  1.426        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  300000    -6.75       28   7.52    0.489   2.857  0.852  0.141   3.313  1.384        0     0     n   0.31       7      1.00     1.00   +0.000     0     nan
  320000    -6.91       28   7.54    0.492   3.200  0.786 -0.013   3.259  1.456        0     0     n   0.18       4      1.00     1.00   +0.000     0     nan
  340000    -6.82       28   7.11    0.469   2.231  0.868 -0.055   3.795  1.434        0     0     n   0.51       9      1.00     1.00   +0.000     0     nan
  360000    -6.83       32   8.68    0.508   3.055  0.826 -0.130   3.617  1.437        0     0     n   0.30      12      1.00     1.00   +0.000     0     nan
  380000    -6.92       32   8.72    0.548   4.040  0.822 -0.146   4.047  1.461        0     0     n   0.45      18      1.00     1.00   +0.000     0     nan
  400000    -7.02       32   8.99    0.489   3.156  0.833  0.004   3.250  1.436        0     0     n   0.44      20      1.00     1.00   +0.000     0     nan
  420000    -6.94       32   8.66    0.504   3.472  0.823 -0.038   3.500  1.447        0     0     n   0.41      16      1.00     1.00   +0.000     0     nan
  440000    -6.83       32   9.53    0.523   3.156  0.856 -0.102   3.758  1.440        0     0     n   0.59      33      1.00     1.00   +0.000     0     nan
  460000    -6.84       38   9.23    0.528   3.520  0.813  0.037   4.164  1.409        0     0     n   0.60      30      1.00     1.00   +0.000     0     nan
  480000    -6.99       38  10.13    0.509   3.250  0.840 -0.062   3.375  1.445        0     0     n   0.57      39      1.00     1.00   +0.000     0     nan
  500000    -6.75       50  12.43    0.418   2.139  0.846  0.241   3.410  1.440        0     0     n   0.82     106      1.00     1.00   +0.000     0     nan
  520000    -6.68       50  11.97    0.438   2.533  0.838  0.281   3.625  1.422        0     0     n   0.86      99      1.00     1.00   +0.000     0     nan
  540000    -6.61       50  12.34    0.431   2.085  0.838  0.040   3.350  1.431        0     0     n   0.71      90      1.00     1.00   +0.000     0     nan
  560000    -6.75       50  12.02    0.466   2.533  0.842  0.154   3.170  1.432        0     0     n   0.77      90      1.00     1.00   +0.000     0     nan
  580000    -6.90       50  11.70    0.493   2.773  0.860  0.042   3.200  1.421        0     0     n   0.70      75      1.00     1.00   +0.000     0     nan
  600000    -6.91       50  11.37    0.483   2.533  0.825 -0.095   3.415  1.437        0     0     n   0.77      76      1.00     1.00   +0.000     0     nan
  620000    -6.92       50  11.39    0.484   2.712  0.845  0.098   3.430  1.454        0     0     n   0.69      68      1.00     1.00   +0.000     0     nan
  640000    -7.07       50  10.75    0.523   3.219  0.833 -0.011   3.410  1.445        0     0     n   0.60      50      1.00     1.00   +0.000     0     nan
  660000    -6.86       50  10.23    0.561   3.850  0.801  0.038   3.635  1.460        0     0     n   0.64      45      1.00     1.00   +0.000     0     nan
  680000    -6.82       46  10.65    0.554   3.784  0.819 -0.037   3.630  1.468        0     0     n   0.56      45      1.00     1.00   +0.000     0     nan
  700000    -6.94       46  11.49    0.562   4.028  0.806 -0.087   3.370  1.453        0     0     n   0.49      50      1.00     1.00   +0.000     0     nan
  720000    -7.00       46  10.80    0.557   3.784  0.819 -0.107   3.598  1.445        0     0     n   0.63      53      1.00     1.00   +0.000     0     nan
  740000    -6.95       50   9.84    0.544   3.632  0.849 -0.078   3.380  1.433        0     0     n   0.49      30      1.00     1.00   +0.000     0     nan
  760000    -6.91       50   9.95    0.573   4.312  0.840 -0.124   3.610  1.448        0     0     n   0.45      29      1.00     1.00   +0.000     0     nan
  780000    -6.83       50  10.25    0.519   3.219  0.831 -0.072   3.765  1.457        0     0     n   0.56      40      1.00     1.00   +0.000     0     nan
  800000    -6.88       50  10.30    0.538   3.850  0.796 -0.098   3.460  1.443        0     0     n   0.43      31      1.00     1.00   +0.000     0     nan
  820000    -6.91       50   9.53    0.523   3.353  0.807 -0.032   3.620  1.465        0     0     n   0.42      23      1.00     1.00   +0.000     0     nan
  840000    -6.71       46  10.52    0.520   3.550  0.833 -0.082   3.745  1.434        0     0     n   0.38      29      1.00     1.00   +0.000     0     nan
  860000    -6.82       55  10.46    0.551   4.069  0.797  0.063   2.991  1.431        0     0     n   0.56      42      1.00     1.00   +0.000     0     nan
  880000    -6.93       55  11.74    0.542   3.226  0.810  0.147   3.605  1.450        0     0     n   0.60      65      1.00     1.00   +0.000     0     nan
  900000    -6.91       59  11.68    0.475   2.090  0.808  0.163   3.326  1.442        0     0     n   0.52      56      1.00     1.00   +0.000     0     nan
  920000    -6.80       59  12.50    0.509   2.718  0.793  0.176   3.496  1.462        0     0     n   0.48      63      1.00     1.00   +0.000     0     nan
  940000    -6.86       59  11.58    0.532   2.769  0.806  0.161   3.407  1.445        0     0     n   0.51      53      1.00     1.00   +0.000     0     nan
  960000    -6.97       59  10.63    0.518   2.821  0.811  0.011   3.754  1.436        0     0     n   0.54      43      1.00     1.00   +0.000     0     nan
  980000    -6.80       59  10.64    0.538   3.487  0.785  0.118   2.886  1.432        0     0     n   0.54      43      1.00     1.00   +0.000     0     nan
 1000000    -7.03       59  10.85    0.525   3.034  0.779  0.028   3.415  1.451        0     0     n   0.58      49      1.00     1.00   +0.000     0     nan
 1020000    -7.01       59  11.53    0.502   2.667  0.800 -0.051   3.708  1.454        0     0     n   0.57      59      1.00     1.00   +0.000     0     nan
 1040000    -6.93       59  11.53    0.544   3.667  0.804  0.081   3.424  1.446        0     0     n   0.43      44      1.00     1.00   +0.000     0     nan
 1060000    -6.98       59  11.83    0.534   3.313  0.819  0.140   3.843  1.445        0     0     n   0.43      48      1.00     1.00   +0.000     0     nan
 1080000    -6.92       59  11.99    0.526   2.980  0.808  0.032   3.267  1.444        0     0     n   0.61      71      1.00     1.00   +0.000     0     nan
 1100000    -7.02       59  13.18    0.519   3.089  0.801 -0.001   3.932  1.450        0     0     n   0.60      92      1.00     1.00   +0.000     0     nan
 1120000    -6.93       59  11.73    0.557   3.915  0.812 -0.019   3.665  1.449       47     1     n   0.72      78      1.00     1.00   +0.000     0     nan
 1140000    -6.88       68  14.96      nan     nan    nan    nan   3.526  1.439       64     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1160000    -6.91       68  14.67      nan     nan    nan    nan   3.504  1.439       55     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1180000    -6.96       68  15.31      nan     nan    nan    nan   3.529  1.427       54     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1200000    -6.98       68  15.16      nan     nan    nan    nan   3.287  1.423       68     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1220000    -6.76       68  14.75    0.463   2.419  0.827  0.132   3.504  1.416       66     1     n   0.76     159      1.00     1.00   +0.000     0     nan
 1240000    -7.02       60  12.53    0.493   2.605  0.815  0.126   3.458  1.454       68     1     n   0.69      91      1.00     1.00   +0.000     0     nan
 1260000    -6.91       68  14.69      nan     nan    nan    nan   3.548  1.426        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1280000    -7.04       68  14.17      nan     nan    nan    nan   3.658  1.457        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1300000    -7.07       68  14.74      nan     nan    nan    nan   3.265  1.446       65     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1320000    -7.29       68  14.61      nan     nan    nan    nan   3.801  1.451       55     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1340000    -7.25       68  14.38      nan     nan    nan    nan   3.574  1.448       59     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1360000    -7.06       67  12.98    0.493   2.780  0.841 -0.001   3.407  1.424       53     1     n   0.79     116      1.00     1.00   +0.000     0     nan
 1380000    -7.22       68  13.83      nan     nan    nan    nan   3.743  1.441       56     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1400000    -6.96       68  13.77      nan     nan    nan    nan   3.857  1.442       61     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1420000    -7.16       68  13.74      nan     nan    nan    nan   3.691  1.443       62     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1440000    -7.22       68  14.40    0.475   2.462  0.829  0.043   3.533  1.427       55     1     n   0.85     166      1.00     1.00   +0.000     0     nan
 1460000    -7.10       68  13.81    0.484   2.590  0.812  0.028   3.721  1.425       53     1     n   0.87     152      1.00     1.00   +0.000     0     nan
 1480000    -6.99       68  13.25    0.506   3.090  0.803  0.011   3.603  1.424       76     1     n   0.69     107      1.00     1.00   +0.000     0     nan
 1500000    -7.07       68  13.02    0.482   2.634  0.802  0.050   3.783  1.427       41     1     n   0.66      97      1.00     1.00   +0.000     0     nan
 1520000    -7.06       68  13.97      nan     nan    nan    nan   3.599  1.418       63     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1540000    -7.11       42   9.75    0.488   3.620  0.836  0.037   3.595  1.427        0     0     n   0.77      46      1.00     1.00   +0.000     0     nan
 1560000    -7.13       68  15.43      nan     nan    nan    nan   3.474  1.432        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1580000    -6.96       42  10.23    0.488   3.453  0.807  0.101   3.357  1.422        0     0     n   0.54      38      1.00     1.00   +0.000     0     nan
 1600000    -7.03       68  14.94      nan     nan    nan    nan   3.618  1.438        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
