chi_ht	seed	steps	largest_max	nenc_ckpts	vesicle_calls	wall_s
-0.25	3	1000000	89	0	0	6124.7
-0.25	1	1000000	154	0	0	6139.2
-0.25	2	1000000	146	0	0	6173.1
-0.25	6	1000000	78	0	0	6193.3
-0.25	5	1000000	81	0	0	6209.5
-0.25	4	1000000	109	0	0	6240.9
0.0	1	1000000	105	1	0	5294.1
0.0	3	1000000	80	11	0	5269.8
0.0	2	1000000	97	3	0	5315.3
0.0	4	1000000	119	0	0	5298.4
0.0	5	1000000	123	0	0	5297.0
0.0	6	1000000	155	3	0	5298.3
