engine	L	seed	steps	thickness	hollow	aniso	debounced	formed	wall_s
ours	36.0	2	400000	1.991	0.441	0.248	0	0	15166.8
ours	36.0	1	400000	3.176	0.507	0.578	0	0	15847.2
ours	36.0	3	400000	0.098	0.474	0.519	0	0	16015.5
ours	30.0	1	400000	1.293	0.53	0.775	0	0	16593.9
ours	30.0	2	400000	1.25	0.547	0.276	0	0	17721.2
ours	30.0	3	400000	0.235	0.554	0.459	0	0	17784.6
